<nd, 1>
<I, 166>
<m, 26>
<so, 41>
<surprised, 1>
<to, 254>
<see, 21>
<you, 94>
<stammered, 1>
<Meg, 76>
<feeling, 6>
<that, 101>
<she, 67>
<was, 78>
<in, 146>
<for, 114>
<a, 249>
<lecture, 4>
<now, 15>
<That, 9>
<s, 85>
<evident, 2>
<returned, 5>
<Aunt, 25>
<March, 36>
<sitting, 3>
<down, 7>
<But, 12>
<what, 15>
<is, 39>
<Father, 7>
<friend, 8>
<saying, 5>
<make, 12>
<look, 17>
<like, 25>
<peony, 1>
<There, 9>
<mischief, 1>
<going, 11>
<on, 36>
<and, 372>
<insist, 1>
<upon, 15>
<knowing, 2>
<it, 97>
<with, 101>
<another, 5>
<rap, 1>
<We, 5>
<were, 22>
<only, 21>
<talking, 4>
<Mr, 23>
<Brooke, 21>
<came, 13>
<his, 48>
<umbrella, 2>
<began, 10>
<wishing, 2>
<the, 392>
<safely, 2>
<out, 14>
<of, 179>
<house, 19>
<boy, 4>
<tutor, 1>
<Ah, 1>
<understand, 1>
<know, 16>
<all, 46>
<about, 21>
<Jo, 55>
<blundered, 1>
<into, 21>
<wrong, 2>
<message, 1>
<one, 29>
<your, 21>
<letters, 1>
<made, 22>
<her, 137>
<tell, 2>
<me, 31>
<You, 29>
<haven, 3>
<t, 84>
<gone, 4>
<accepted, 2>
<him, 36>
<child, 5>
<cried, 9>
<looking, 7>
<scandalized, 3>
<Hush, 1>
<He, 8>
<ll, 18>
<hear, 2>
<Shan, 1>
<call, 2>
<Mother, 10>
<said, 37>
<much, 24>
<troubled, 2>
<Not, 4>
<yet, 5>
<ve, 11>
<something, 4>
<say, 15>
<must, 4>
<free, 2>
<my, 39>
<mind, 10>
<at, 41>
<once, 5>
<Tell, 1>
<do, 24>
<mean, 4>
<marry, 5>
<this, 21>
<Cook, 1>
<If, 6>
<not, 36>
<penny, 1>
<money, 9>
<ever, 19>
<goes, 1>
<Remember, 1>
<be, 55>
<sensible, 2>
<girl, 6>
<old, 23>
<lady, 10>
<impressively, 1>
<Now, 8>
<possessed, 7>
<perfection, 2>
<art, 1>
<rousing, 1>
<spirit, 4>
<opposition, 1>
<gentlest, 2>
<people, 8>
<enjoyed, 3>
<doing, 5>
<The, 18>
<best, 12>
<us, 7>
<have, 38>
<spice, 1>
<perversity, 2>
<especially, 2>
<when, 31>
<we, 15>
<are, 23>
<young, 25>
<love, 14>
<had, 42>
<begged, 2>
<accept, 1>
<John, 29>
<would, 19>
<probably, 2>
<declared, 1>
<couldn, 4>
<think, 14>
<but, 53>
<as, 92>
<preemptorily, 1>
<ordered, 2>
<immediately, 2>
<up, 31>
<Inclination, 1>
<well, 15>
<decision, 1>
<easy, 2>
<being, 6>
<already, 2>
<excited, 1>
<opposed, 1>
<unusual, 1>
<shall, 12>
<whom, 2>
<please, 4>
<can, 18>
<leave, 3>
<anyone, 4>
<nodding, 1>
<head, 11>
<resolute, 1>
<air, 4>
<Highty, 1>
<tighty, 1>
<Is, 1>
<way, 10>
<take, 9>
<advice, 2>
<Miss, 2>
<sorry, 2>
<by, 36>
<tried, 3>
<cottage, 1>
<found, 9>
<failure, 1>
<It, 12>
<worse, 2>
<than, 27>
<some, 15>
<find, 2>
<big, 5>
<houses, 1>
<retorted, 1>
<put, 8>
<glasses, 1>
<took, 7>
<did, 11>
<new, 11>
<mood, 1>
<hardly, 2>
<knew, 4>
<herself, 14>
<felt, 10>
<brave, 2>
<independent, 1>
<glad, 3>
<defend, 1>
<assert, 1>
<right, 6>
<if, 32>
<liked, 4>
<saw, 7>
<begun, 2>
<after, 12>
<little, 33>
<pause, 1>
<fresh, 4>
<start, 3>
<mildly, 1>
<could, 16>
<dear, 8>
<reasonable, 1>
<kindly, 3>
<don, 24>
<want, 10>
<spoil, 2>
<whole, 5>
<life, 10>
<making, 4>
<mistake, 2>
<beginning, 2>
<ought, 4>
<help, 12>
<family, 8>
<duty, 3>
<rich, 5>
<match, 5>
<impressed, 2>
<They, 2>
<though, 10>
<he, 58>
<poor, 6>
<Your, 2>
<parents, 2>
<no, 17>
<more, 25>
<worldly, 2>
<wisdom, 3>
<pair, 4>
<babies, 2>
<stoutly, 1>
<notice, 1>
<went, 11>
<This, 3>
<Rook, 1>
<hasn, 2>
<got, 14>
<any, 19>
<relations, 2>
<has, 13>
<No, 10>
<many, 10>
<warm, 1>
<friends, 6>
<live, 3>
<try, 2>
<how, 12>
<cool, 1>
<they, 27>
<grow, 4>
<business, 3>
<Laurence, 8>
<won, 7>
<last, 15>
<long, 15>
<James, 1>
<crotchety, 1>
<fellow, 6>
<depended, 1>
<So, 6>
<intend, 1>
<man, 11>
<without, 7>
<position, 1>
<or, 27>
<go, 14>
<working, 2>
<harder, 3>
<might, 6>
<comfortable, 1>
<days, 4>
<minding, 1>
<better, 10>
<thought, 4>
<sense, 4>
<waited, 1>
<half, 1>
<good, 15>
<wise, 3>
<heaps, 1>
<talent, 2>
<willing, 2>
<work, 7>
<sure, 5>
<get, 17>
<energetic, 2>
<Everyone, 1>
<likes, 4>
<respects, 1>
<proud, 2>
<cares, 1>
<silly, 1>
<prettier, 2>
<earnestness, 1>
<knows, 1>
<secret, 3>
<liking, 1>
<suspect, 1>
<dare, 1>
<such, 12>
<thing, 7>
<above, 3>
<meanness, 1>
<listen, 1>
<minute, 7>
<talk, 5>
<indignantly, 1>
<forgetting, 1>
<everything, 6>
