<al, 1>
<and, 401>
<the, 428>
<other, 10>
<girls, 12>
<will, 22>
<drop, 1>
<in, 126>
<now, 7>
<then, 9>
<to, 252>
<laugh, 6>
<at, 58>
<my, 21>
<housekeeping, 1>
<struggles, 1>
<Thank, 1>
<you, 58>
<all, 43>
<for, 124>
<happy, 6>
<wedding, 1>
<day, 13>
<Good, 2>
<by, 27>
<good, 19>
<They, 8>
<stood, 3>
<watching, 1>
<her, 177>
<with, 100>
<faces, 3>
<full, 10>
<of, 227>
<love, 6>
<hope, 4>
<tender, 3>
<pride, 6>
<as, 76>
<she, 117>
<walked, 1>
<away, 16>
<leaning, 1>
<on, 41>
<husband, 4>
<s, 64>
<arm, 2>
<hands, 4>
<flowers, 2>
<June, 1>
<sunshine, 2>
<brightening, 1>
<face, 5>
<so, 37>
<Meg, 28>
<married, 2>
<life, 8>
<began, 7>
<CHAPTER, 3>
<TWENTY, 3>
<SIX, 1>
<ARTISTIC, 1>
<ATTEMPTS, 1>
<It, 17>
<takes, 1>
<people, 8>
<a, 270>
<long, 7>
<time, 24>
<learn, 3>
<difference, 3>
<between, 1>
<talent, 2>
<genius, 6>
<especially, 1>
<ambitious, 1>
<young, 20>
<men, 2>
<women, 1>
<Amy, 40>
<was, 122>
<learning, 3>
<this, 23>
<distinction, 1>
<through, 9>
<much, 19>
<tribulation, 1>
<mistaking, 2>
<enthusiasm, 4>
<inspiration, 2>
<attempted, 1>
<every, 5>
<branch, 1>
<art, 4>
<youthful, 1>
<audacity, 1>
<For, 3>
<there, 11>
<lull, 2>
<mud, 2>
<pie, 1>
<business, 3>
<devoted, 1>
<herself, 21>
<finest, 1>
<pen, 4>
<ink, 2>
<drawing, 2>
<which, 37>
<showed, 1>
<such, 22>
<taste, 3>
<skill, 2>
<that, 99>
<graceful, 1>
<handiwork, 1>
<proved, 2>
<both, 7>
<pleasant, 3>
<profitable, 1>
<But, 8>
<over, 22>
<strained, 1>
<eyes, 11>
<caused, 2>
<be, 43>
<laid, 5>
<aside, 1>
<bold, 2>
<attempt, 2>
<poker, 1>
<sketching, 2>
<While, 2>
<attack, 1>
<lasted, 3>
<family, 14>
<lived, 1>
<constant, 1>
<fear, 4>
<conflagration, 1>
<odor, 1>
<burning, 3>
<wood, 2>
<pervaded, 1>
<house, 13>
<hours, 4>
<smoke, 1>
<issued, 1>
<from, 21>
<attic, 1>
<shed, 2>
<alarming, 1>
<frequency, 1>
<red, 4>
<hot, 3>
<pokers, 1>
<lay, 3>
<about, 19>
<promiscuously, 1>
<Hannah, 10>
<never, 17>
<went, 10>
<bed, 2>
<without, 12>
<pail, 1>
<water, 1>
<dinner, 9>
<bell, 1>
<door, 3>
<case, 1>
<fire, 2>
<Raphael, 1>
<found, 8>
<boldly, 3>
<executed, 1>
<underside, 1>
<moulding, 1>
<board, 1>
<Bacchus, 1>
<head, 8>
<beer, 1>
<barrel, 2>
<A, 8>
<chanting, 1>
<cherub, 1>
<adorned, 4>
<cover, 1>
<sugar, 4>
<bucket, 1>
<attempts, 1>
<portray, 1>
<Romeo, 1>
