<a, 250>
<month, 1>
<you, 92>
<d, 12>
<see, 22>
<things, 11>
<that, 86>
<would, 25>
<astonish, 1>
<trifle, 2>
<Upon, 1>
<my, 64>
<word, 7>
<when, 27>
<I, 296>
<one, 44>
<of, 184>
<those, 5>
<harum, 1>
<scarum, 1>
<girls, 8>
<always, 13>
<want, 6>
<to, 252>
<say, 13>
<with, 81>
<our, 4>
<friend, 14>
<Cock, 1>
<Robin, 1>
<Out, 1>
<upon, 6>
<fie, 1>
<Bold, 1>
<faced, 1>
<jig, 1>
<It, 20>
<was, 107>
<impossible, 1>
<help, 8>
<laughing, 3>
<at, 50>
<the, 298>
<funny, 4>
<conflict, 1>
<between, 5>
<Laurie, 11>
<s, 53>
<chivalrous, 1>
<reluctance, 1>
<speak, 2>
<ill, 1>
<womankind, 1>
<and, 431>
<his, 87>
<very, 32>
<natural, 5>
<dislike, 1>
<unfeminine, 1>
<folly, 2>
<which, 31>
<fashionable, 1>
<society, 6>
<showed, 3>
<him, 68>
<many, 10>
<samples, 1>
<Jo, 58>
<knew, 8>
<young, 18>
<Laurence, 1>
<regarded, 1>
<as, 111>
<most, 10>
<eligible, 1>
<parti, 1>
<by, 29>
<worldly, 1>
<mamas, 1>
<much, 32>
<smiled, 2>
<their, 11>
<daughters, 1>
<flattered, 1>
<enough, 5>
<ladies, 4>
<all, 43>
<ages, 2>
<make, 20>
<coxcomb, 1>
<so, 59>
<she, 89>
<watched, 2>
<rather, 13>
<jealously, 1>
<fearing, 1>
<he, 94>
<be, 40>
<spoiled, 2>
<rejoiced, 2>
<more, 28>
<than, 23>
<confessed, 1>
<find, 10>
<still, 5>
<believed, 2>
<in, 137>
<modest, 3>
<Returning, 1>
<suddenly, 1>
<her, 121>
<admonitory, 1>
<tone, 6>
<said, 25>
<dropping, 3>
<voice, 5>
<If, 4>
<must, 11>
<have, 23>
<vent, 1>
<Teddy, 3>
<go, 17>
<devote, 1>
<yourself, 4>
<pretty, 8>
<whom, 5>
<do, 27>
<respect, 3>
<not, 42>
<waste, 1>
<your, 23>
<time, 16>
<silly, 1>
<ones, 3>
<You, 14>
<really, 6>
<advise, 1>
<it, 130>
<looked, 20>
<an, 25>
<odd, 2>
<mixture, 2>
<anxiety, 2>
<merriment, 1>
<face, 6>
<Yes, 7>
<but, 70>
<better, 13>
<wait, 1>
<till, 9>
<are, 24>
<through, 4>
<college, 1>
<on, 63>
<whole, 2>
<fitting, 1>
<for, 135>
<place, 3>
<meantime, 1>
<re, 1>
<half, 2>
<good, 29>
<well, 15>
<whoever, 1>
<girl, 6>
<may, 8>
<little, 41>
<queer, 2>
<likewise, 3>
<name, 9>
<had, 53>
<almost, 2>
<escaped, 2>
<That, 4>
<m, 22>
<acquiesced, 1>
<expression, 2>
<humility, 1>
<quite, 5>
<new, 22>
<dropped, 1>
<eyes, 6>
<absently, 1>
<wound, 1>
<apron, 3>
<tassel, 2>
<round, 3>
<finger, 2>
<Mercy, 2>
<us, 8>
<this, 31>
<will, 31>
<never, 14>
<thought, 11>
<adding, 1>
<aloud, 1>
<Go, 3>
<sing, 1>
<me, 71>
<dying, 1>
<some, 15>
<music, 1>
<like, 32>
<yours, 1>
<stay, 3>
<here, 7>
<thank, 1>
<Well, 3>
<can, 23>
<t, 64>
<there, 18>
<isn, 4>
<room, 12>
<useful, 3>
<since, 1>
<too, 12>
<big, 10>
<ornamental, 1>
<hated, 1>
<tied, 2>
<woman, 5>
<string, 2>
<retorted, 1>
<quoting, 1>
<certain, 1>
<rebellious, 1>
<words, 6>
<own, 13>
<Ah, 4>
<depends, 1>
<who, 18>
<wears, 1>
<gave, 9>
<audacious, 1>
<tweak, 1>
<Are, 1>
<going, 7>
<demanded, 1>
<diving, 1>
<pillow, 1>
<He, 14>
<fled, 1>
<once, 5>
<minute, 4>
<Up, 1>
<bonnets, 1>
<bonnie, 1>
<Dundee, 1>
<slipped, 1>
<away, 14>
<return, 2>
<no, 26>
<gentleman, 5>
<departed, 3>
<high, 2>
<dudgeon, 1>
<lay, 2>
<long, 11>
<awake, 2>
<night, 6>
<just, 13>
<off, 9>
<sound, 2>
<stifled, 1>
<sob, 1>
<made, 14>
<fly, 1>
<Beth, 20>
<bedside, 1>
<anxious, 3>
<inquiry, 1>
<What, 4>
<is, 53>
<dear, 10>
<were, 30>
<asleep, 3>
<sobbed, 1>
<Is, 3>
<old, 12>
<pain, 4>
<precious, 2>
<No, 7>
<bear, 1>
<tried, 4>
<check, 1>
<tears, 1>
<Tell, 3>
<about, 27>
<let, 1>
<cure, 3>
<often, 5>
<did, 8>
<other, 12>
<There, 6>
<way, 19>
<clinging, 1>
<sister, 2>
<cried, 3>
<despairingly, 1>
<frightened, 2>
<Where, 2>
<Shall, 2>
<call, 8>
<Mother, 6>
<don, 13>
<tell, 16>
<shall, 14>
<soon, 10>
<Lie, 1>
<down, 14>
<poor, 7>
<head, 9>
<ll, 15>
<quiet, 4>
<sleep, 3>
<indeed, 1>
<obeyed, 1>
<hand, 6>
<went, 17>
<softly, 2>
<fro, 2>
<across, 1>
<hot, 2>
<forehead, 2>
<wet, 1>
<eyelids, 1>
<heart, 9>
<full, 5>
<longed, 1>
<But, 12>
<learned, 4>
<hearts, 2>
<flowers, 1>
<cannot, 1>
<rudely, 1>
<handled, 1>
<open, 6>
<naturally, 2>
<though, 12>
<cause, 2>
<only, 12>
<tenderest, 1>
<Does, 1>
<anything, 6>
<trouble, 5>
<deary, 1>
<after, 20>
<pause, 2>
<Wouldn, 1>
<comfort, 2>
<what, 21>
<Not, 5>
<now, 11>
<yet, 7>
<Then, 3>
<won, 4>
<ask, 1>
<remember, 4>
<Bethy, 1>
<glad, 9>
<hear, 6>
<if, 38>
<they, 23>
<know, 17>
<Oh, 3>
<yes, 3>
