<latest, 2>
<celebrity, 1>
<who, 22>
<has, 9>
<arrived, 1>
<Ristori, 1>
<or, 23>
<Dickens, 1>
<Victor, 1>
<Emmanuel, 1>
<the, 395>
<Queen, 1>
<of, 199>
<Sandwich, 1>
<Islands, 1>
<The, 21>
<equipages, 1>
<are, 29>
<as, 117>
<varied, 1>
<company, 5>
<and, 390>
<attract, 1>
<much, 13>
<attention, 1>
<especially, 1>
<low, 2>
<basket, 1>
<barouches, 1>
<in, 111>
<which, 36>
<ladies, 2>
<drive, 3>
<themselves, 5>
<with, 112>
<a, 192>
<pair, 1>
<dashing, 2>
<ponies, 4>
<gay, 6>
<nets, 2>
<to, 280>
<keep, 10>
<their, 13>
<voluminous, 1>
<flounces, 1>
<from, 18>
<overflowing, 1>
<diminutive, 1>
<vehicles, 1>
<little, 51>
<grooms, 1>
<on, 41>
<perch, 1>
<behind, 2>
<Along, 1>
<this, 16>
<walk, 2>
<Christmas, 6>
<Day, 2>
<tall, 3>
<young, 24>
<man, 12>
<walked, 4>
<slowly, 1>
<his, 91>
<hands, 2>
<him, 89>
<somewhat, 1>
<absent, 1>
<expression, 4>
<countenance, 2>
<He, 22>
<looked, 10>
<like, 30>
<an, 28>
<Italian, 1>
<was, 96>
<dressed, 5>
<Englishman, 2>
<had, 43>
<independent, 1>
<air, 8>
<American, 3>
<combination, 1>
<caused, 3>
<sundry, 2>
<pairs, 1>
<feminine, 2>
<eyes, 11>
<look, 18>
<approvingly, 1>
<after, 9>
<dandies, 1>
<black, 2>
<velvet, 2>
<suits, 1>
<rose, 4>
<colored, 1>
<neckties, 1>
<buff, 1>
<gloves, 3>
<orange, 1>
<flowers, 6>
<buttonholes, 1>
<shrug, 1>
<shoulders, 3>
<then, 20>
<envy, 1>
<inches, 1>
<There, 2>
<were, 22>
<plenty, 4>
<pretty, 12>
<faces, 3>
<admire, 2>
<but, 60>
<took, 12>
<notice, 3>
<them, 29>
<except, 4>
<glance, 1>
<now, 18>
<at, 47>
<some, 9>
<blonde, 2>
<girl, 4>
<blue, 6>
<Presently, 2>
<he, 119>
<strolled, 2>
<out, 19>
<promenade, 1>
<stood, 4>
<moment, 4>
<crossing, 1>
<if, 36>
<undecided, 1>
<whether, 2>
<go, 19>
<listen, 1>
<band, 3>
<Jardin, 1>
<Publique, 1>
<wander, 1>
<along, 4>
<beach, 1>
<toward, 2>
<Castle, 2>
<Hill, 2>
<quick, 2>
<trot, 1>
<feet, 3>
<made, 20>
<up, 24>
<one, 22>
<carriages, 1>
<containing, 1>
<single, 1>
<lady, 5>
<came, 11>
<rapidly, 1>
<down, 11>
<street, 1>
<stared, 1>
<minute, 5>
<whole, 3>
<face, 6>
<woke, 1>
<waving, 1>
<hat, 1>
<boy, 11>
<hurried, 2>
<forward, 1>
<meet, 1>
<her, 135>
<Oh, 1>
<Laurie, 28>
<is, 41>
<it, 104>
<really, 5>
<you, 98>
<I, 147>
<thought, 14>
<d, 9>
<never, 16>
<come, 11>
<cried, 1>
<Amy, 36>
<dropping, 1>
<reins, 3>
<holding, 2>
<both, 6>
<great, 6>
<scandalization, 1>
<French, 6>
<mamma, 2>
<hastened, 1>
<daughter, 3>
<s, 71>
<steps, 1>
<lest, 1>
<she, 94>
<should, 9>
<be, 40>
<demoralized, 1>
<by, 33>
<beholding, 1>
<free, 1>
<manners, 1>
<these, 4>
<mad, 1>
<English, 4>
<detained, 1>
<way, 7>
<promised, 1>
<spend, 1>
<here, 5>
<am, 5>
<How, 3>
<your, 17>
<grandfather, 2>
<When, 6>
<did, 19>
<Where, 3>
<staying, 1>
<Very, 1>
<well, 15>
<last, 4>
<night, 12>
<Chauvain, 1>
<called, 1>
<hotel, 2>
<have, 38>
<so, 34>
<say, 11>
<don, 14>
<t, 60>
<know, 15>
<where, 5>
<begin, 2>
<Get, 1>
<we, 11>
<can, 11>
<talk, 6>
<our, 8>
<ease, 1>
<going, 11>
<for, 112>
<longing, 2>
<Flo, 3>
