<ll, 14>
<you, 145>
<come, 9>
<said, 32>
<Amy, 50>
<as, 88>
<she, 84>
<joined, 1>
<Laurie, 46>
<one, 35>
<lovely, 4>
<day, 8>
<when, 32>
<he, 106>
<lounged, 1>
<in, 137>
<usual, 3>
<about, 16>
<noon, 1>
<Well, 4>
<yes, 1>
<but, 71>
<isn, 4>
<t, 79>
<it, 127>
<rather, 4>
<warm, 1>
<for, 115>
<such, 12>
<a, 219>
<long, 15>
<walk, 1>
<answered, 5>
<slowly, 4>
<the, 388>
<shaded, 1>
<salon, 1>
<looked, 14>
<inviting, 1>
<after, 10>
<glare, 1>
<without, 7>
<I, 159>
<m, 20>
<going, 7>
<to, 241>
<have, 37>
<little, 32>
<carriage, 2>
<and, 402>
<Baptiste, 3>
<can, 19>
<drive, 2>
<so, 58>
<nothing, 15>
<do, 31>
<hold, 1>
<your, 22>
<umbrella, 1>
<keep, 3>
<gloves, 2>
<nice, 2>
<returned, 6>
<with, 91>
<sarcastic, 1>
<glance, 2>
<at, 44>
<immaculate, 1>
<kids, 1>
<which, 29>
<were, 22>
<weak, 2>
<point, 2>
<Then, 8>
<go, 10>
<pleasure, 7>
<put, 16>
<out, 14>
<his, 97>
<hand, 14>
<her, 134>
<sketchbook, 2>
<But, 15>
<tucked, 1>
<under, 6>
<arm, 1>
<sharp, 3>
<Don, 5>
<trouble, 7>
<yourself, 7>
<It, 21>
<s, 79>
<no, 18>
<exertion, 1>
<me, 39>
<don, 21>
<look, 18>
<equal, 1>
<lifted, 1>
<eyebrows, 1>
<followed, 1>
<leisurely, 1>
<pace, 1>
<ran, 3>
<downstairs, 1>
<they, 21>
<got, 7>
<into, 14>
<took, 7>
<reins, 1>
<himself, 18>
<left, 6>
<fold, 2>
<arms, 2>
<fall, 2>
<asleep, 4>
<on, 49>
<perch, 1>
<The, 16>
<two, 3>
<never, 18>
<quarreled, 1>
<was, 101>
<too, 9>
<well, 20>
<bred, 1>
<just, 12>
<now, 20>
<lazy, 6>
<minute, 8>
<peeped, 1>
<hatbrim, 1>
<an, 21>
<inquiring, 1>
<air, 5>
<She, 20>
<him, 46>
<smile, 6>
<went, 13>
<together, 4>
<most, 9>
<amicable, 1>
<manner, 4>
<along, 1>
<winding, 2>
<roads, 1>
<rich, 3>
<picturesque, 1>
<scenes, 2>
<that, 133>
<delight, 1>
<beauty, 5>
<loving, 5>
<eyes, 14>
<Here, 3>
<ancient, 1>
<monastery, 1>
<whence, 2>
<solemn, 2>
<chanting, 1>
<of, 178>
<monks, 1>
<came, 19>
<down, 16>
<them, 18>
<There, 4>
<bare, 1>
<legged, 1>
<shepherd, 1>
<wooden, 1>
<shoes, 1>
<pointed, 1>
<hat, 5>
<rough, 2>
<jacket, 1>
<over, 15>
<shoulder, 1>
<sat, 10>
<piping, 1>
<stone, 3>
<while, 11>
<goats, 1>
