<e, 1>
<certainly, 1>
<did, 31>
<grow, 4>
<a, 193>
<little, 42>
<pale, 1>
<and, 452>
<pensive, 1>
<that, 122>
<spring, 2>
<lost, 2>
<much, 24>
<of, 151>
<her, 169>
<relish, 1>
<for, 110>
<society, 2>
<went, 12>
<out, 18>
<sketching, 1>
<alone, 8>
<good, 32>
<deal, 6>
<She, 18>
<never, 27>
<had, 73>
<to, 278>
<show, 6>
<when, 45>
<she, 119>
<came, 14>
<home, 14>
<but, 73>
<was, 118>
<studying, 2>
<nature, 4>
<I, 168>
<dare, 5>
<say, 21>
<while, 11>
<sat, 6>
<hours, 1>
<with, 76>
<hands, 4>
<folded, 1>
<on, 42>
<the, 382>
<terrace, 1>
<at, 61>
<Valrosa, 2>
<or, 17>
<absently, 2>
<sketched, 1>
<any, 13>
<fancy, 1>
<occurred, 1>
<stalwart, 1>
<knight, 1>
<carved, 1>
<tomb, 1>
<young, 6>
<man, 10>
<asleep, 2>
<in, 118>
<grass, 2>
<his, 40>
<hat, 2>
<over, 22>
<eyes, 11>
<curly, 1>
<haired, 1>
<girl, 9>
<gorgeous, 1>
<array, 1>
<promenading, 1>
<down, 19>
<ballroom, 1>
<arm, 6>
<tall, 2>
<gentleman, 5>
<both, 14>
<faces, 3>
<being, 6>
<left, 9>
<blur, 1>
<according, 1>
<last, 6>
<fashion, 3>
<art, 1>
<which, 29>
<safe, 3>
<not, 49>
<altogether, 3>
<satisfactory, 2>
<Her, 2>
<aunt, 2>
<thought, 10>
<regretted, 1>
<answer, 4>
<Fred, 3>
<finding, 3>
<denials, 1>
<useless, 1>
<explanations, 1>
<impossible, 3>
<Amy, 58>
<think, 9>
<what, 14>
<liked, 6>
<taking, 2>
<care, 5>
<Laurie, 46>
<should, 14>
<know, 10>
<gone, 9>
<Egypt, 1>
<That, 5>
<all, 60>
<he, 58>
<understood, 1>
<it, 163>
<looked, 16>
<relieved, 1>
<as, 129>
<said, 31>
<himself, 6>
<venerable, 1>
<air, 6>
<sure, 8>
<would, 26>
<better, 11>
<Poor, 4>
<old, 38>
<fellow, 2>
<ve, 7>
<been, 19>
<through, 5>
<can, 27>
<sympathize, 1>
<With, 2>
<heaved, 1>
<great, 4>
<sigh, 1>
<then, 17>
<if, 45>
<discharged, 1>
<duty, 8>
<past, 3>
<put, 9>
<feet, 3>
<up, 27>
<sofa, 3>
<enjoyed, 2>
<s, 63>
<letter, 4>
<luxuriously, 1>
<While, 1>
<these, 3>
<changes, 2>
<were, 26>
<going, 6>
<abroad, 1>
<trouble, 2>
<come, 23>
<But, 14>
<telling, 4>
<Beth, 17>
<failing, 1>
<reached, 2>
<next, 4>
<found, 14>
<green, 1>
<above, 1>
<sister, 9>
<The, 17>
<sad, 9>
<news, 1>
<met, 1>
<Vevay, 4>
<heat, 1>
<driven, 1>
<them, 28>
<from, 15>
<Nice, 3>
<May, 1>
<they, 43>
<travelled, 1>
<slowly, 2>
<Switzerland, 2>
<by, 33>
<way, 8>
<Genoa, 1>
<Italian, 1>
<lakes, 1>
