<ust, 1>
<then, 14>
<She, 9>
<stood, 7>
<a, 242>
<minute, 7>
<looking, 7>
<at, 54>
<the, 366>
<party, 2>
<vanishing, 1>
<above, 4>
<and, 305>
<as, 100>
<Demi, 23>
<s, 71>
<short, 6>
<plaid, 1>
<legs, 7>
<toiled, 1>
<up, 30>
<last, 8>
<stair, 1>
<sudden, 5>
<sense, 2>
<of, 162>
<loneliness, 1>
<came, 14>
<over, 20>
<her, 132>
<so, 48>
<strongly, 1>
<that, 117>
<she, 115>
<looked, 17>
<about, 17>
<with, 119>
<dim, 1>
<eyes, 13>
<if, 46>
<to, 270>
<find, 9>
<something, 13>
<lean, 1>
<upon, 17>
<for, 114>
<even, 7>
<Teddy, 3>
<had, 60>
<deserted, 1>
<If, 15>
<known, 1>
<what, 13>
<birthday, 1>
<gift, 2>
<was, 91>
<coming, 2>
<every, 10>
<nearer, 2>
<would, 26>
<not, 46>
<have, 43>
<said, 36>
<herself, 17>
<I, 158>
<ll, 9>
<weep, 2>
<little, 39>
<when, 34>
<go, 24>
<bed, 4>
<It, 16>
<won, 7>
<t, 60>
<do, 33>
<be, 38>
<dismal, 1>
<now, 9>
<Then, 9>
<drew, 1>
<hand, 6>
<one, 36>
<boyish, 1>
<habits, 1>
<never, 7>
<know, 12>
<where, 8>
<handkerchief, 2>
<just, 8>
<managed, 2>
<call, 4>
<smile, 3>
<there, 20>
<knock, 1>
<porch, 1>
<door, 5>
<opened, 5>
<hospitable, 2>
<haste, 1>
<started, 1>
<another, 6>
<ghost, 1>
<come, 13>
<surprise, 2>
<tall, 1>
<bearded, 1>
<gentleman, 8>
<beaming, 1>
<on, 36>
<from, 10>
<darkness, 1>
<like, 37>
<midnight, 1>
<sun, 3>
<Oh, 6>
<Mr, 47>
<Bhaer, 42>
<am, 9>
<glad, 4>
<see, 20>
<you, 94>
<cried, 5>
<Jo, 73>
<clutch, 1>
<feared, 2>
<night, 2>
<swallow, 1>
<him, 55>
<before, 11>
<could, 29>
<get, 12>
<in, 123>
<And, 8>
<Miss, 2>
<Marsch, 2>
<but, 55>
<no, 19>
<haf, 11>
<Professor, 20>
<paused, 3>
<sound, 1>
<voices, 1>
<tap, 1>
<dancing, 1>
<feet, 4>
<down, 15>
<them, 26>
<No, 4>
<we, 25>
<haven, 4>
<only, 10>
<family, 5>
<My, 6>
<sister, 3>
<friends, 3>
<home, 16>
<are, 20>
<all, 25>
<very, 15>
<happy, 6>
<Come, 3>
<make, 10>
<us, 4>
<Though, 2>
<social, 1>
<man, 13>
<think, 11>
<gone, 6>
<decorously, 1>
<away, 17>
<again, 11>
<day, 13>
<how, 13>
<he, 98>
<shut, 1>
<behind, 4>
<bereft, 1>
<his, 96>
<hat, 2>
<Perhaps, 2>
<face, 20>
<it, 100>
<forgot, 6>
<hide, 4>
<joy, 3>
<seeing, 2>
