<shion, 1>
<I, 246>
<ve, 11>
<seen, 3>
<many, 12>
<girls, 23>
<do, 44>
<it, 101>
<so, 69>
<said, 44>
<Amy, 19>
<consolingly, 1>
<Serves, 1>
<me, 47>
<right, 9>
<for, 96>
<trying, 12>
<to, 261>
<be, 35>
<fine, 8>
<wish, 8>
<d, 16>
<let, 12>
<my, 35>
<hair, 9>
<alone, 8>
<cried, 13>
<Meg, 50>
<petulantly, 1>
<So, 7>
<was, 125>
<smooth, 1>
<and, 448>
<pretty, 9>
<But, 11>
<will, 12>
<soon, 11>
<grow, 2>
<out, 39>
<again, 5>
<Beth, 26>
<coming, 4>
<kiss, 1>
<comfort, 5>
<the, 309>
<shorn, 1>
<sheep, 1>
<After, 1>
<various, 1>
<lesser, 1>
<mishaps, 1>
<finished, 2>
<at, 62>
<last, 6>
<by, 27>
<united, 1>
<exertions, 1>
<of, 153>
<entire, 1>
<family, 4>
<Jo, 96>
<s, 78>
<got, 13>
<up, 40>
<her, 181>
<dress, 4>
<on, 44>
<They, 6>
<looked, 14>
<very, 30>
<well, 12>
<in, 110>
<their, 21>
<simple, 2>
<suits, 1>
<silvery, 1>
<drab, 1>
<with, 82>
<a, 230>
<blue, 4>
<velvet, 1>
<snood, 1>
<lace, 1>
<frills, 1>
<pearl, 2>
<pin, 1>
<maroon, 1>
<stiff, 1>
<gentlemanly, 2>
<linen, 1>
<collar, 2>
<white, 1>
<chrysanthemum, 1>
<or, 26>
<two, 17>
<only, 20>
<ornament, 1>
<Each, 1>
<put, 11>
<one, 53>
<nice, 16>
<light, 4>
<glove, 4>
<carried, 1>
<soiled, 1>
<all, 45>
<pronounced, 2>
<effect, 1>
<quite, 7>
<easy, 3>
<high, 3>
<heeled, 2>
<slippers, 6>
<were, 42>
<tight, 3>
<hurt, 3>
<though, 9>
<she, 132>
<would, 22>
<not, 43>
<own, 10>
<nineteen, 1>
<hairpins, 1>
<seemed, 7>
<stuck, 3>
<straight, 5>
<into, 17>
