<ely, 1>
<forgot, 3>
<to, 226>
<hail, 1>
<a, 198>
<bus, 1>
<and, 320>
<strolled, 2>
<leisurely, 1>
<along, 1>
<oblivious, 1>
<of, 233>
<deepening, 1>
<dusk, 1>
<fog, 1>
<Little, 2>
<they, 23>
<cared, 1>
<what, 11>
<anybody, 1>
<thought, 6>
<for, 106>
<were, 19>
<enjoying, 2>
<the, 399>
<happy, 17>
<hour, 3>
<that, 79>
<seldom, 2>
<comes, 1>
<but, 36>
<once, 4>
<in, 150>
<any, 44>
<life, 12>
<magical, 1>
<moment, 2>
<which, 26>
<bestows, 1>
<youth, 3>
<on, 50>
<old, 18>
<beauty, 3>
<plain, 2>
<wealth, 1>
<poor, 11>
<gives, 1>
<human, 3>
<hearts, 4>
<foretaste, 1>
<heaven, 3>
<The, 28>
<Professor, 17>
<looked, 3>
<as, 56>
<if, 22>
<he, 28>
<had, 33>
<conquered, 2>
<kingdom, 1>
<world, 6>
<nothing, 4>
<more, 15>
<offer, 1>
<him, 14>
<way, 9>
<bliss, 1>
<While, 2>
<Jo, 49>
<trudged, 1>
<beside, 4>
<feeling, 1>
<her, 77>
<place, 7>
<always, 10>
<been, 12>
<there, 14>
<wondering, 2>
<how, 9>
<she, 36>
<ever, 8>
<could, 20>
<have, 28>
<chosen, 1>
<other, 18>
<lot, 2>
<Of, 6>
<course, 5>
<was, 62>
<first, 10>
<speak, 2>
<intelligibly, 1>
<I, 154>
<mean, 4>
<emotional, 1>
<remarks, 1>
<followed, 1>
<impetuous, 1>
<Oh, 3>
<yes, 1>
<not, 50>
<coherent, 1>
<or, 86>
<reportable, 1>
<character, 1>
<Friedrich, 3>
<why, 2>
<didn, 4>
<t, 35>
<you, 100>
<Ah, 4>
<gifs, 1>
<me, 23>
<name, 6>
<no, 19>
<one, 35>
<speaks, 2>
<since, 1>
<Minna, 2>
<died, 2>
<cried, 7>
<pausing, 2>
<puddle, 1>
<regard, 1>
<with, 92>
<grateful, 3>
<delight, 1>
<call, 4>
<so, 35>
<myself, 6>
<won, 3>
<unless, 3>
<like, 19>
<it, 86>
<Like, 2>
<It, 15>
<is, 42>
<sweet, 7>
<than, 14>
<can, 28>
<tell, 5>
<Say, 1>
<thou, 8>
<also, 5>
<shall, 11>
<say, 10>
<your, 20>
<language, 1>
<almost, 2>
<beautiful, 4>
<mine, 3>
<Isn, 2>
<little, 37>
<sentimental, 1>
<asked, 6>
<privately, 1>
<thinking, 2>
<lovely, 1>
<monosyllable, 1>
<Sentimental, 1>
<Yes, 10>
<Thank, 2>
<Gott, 2>
<we, 17>
<Germans, 1>
<believe, 3>
<sentiment, 1>
<keep, 10>
<ourselves, 1>
<young, 5>
<mit, 1>
<Your, 1>
<English, 1>
<cold, 3>
<heart, 15>
<s, 56>
<dearest, 2>
