<bashful, 1>
<It, 18>
<won, 7>
<t, 95>
<last, 10>
<long, 10>
<if, 46>
<you, 118>
<keep, 5>
<going, 13>
<Laurie, 44>
<turned, 6>
<red, 5>
<again, 9>
<but, 52>
<wasn, 2>
<offended, 2>
<at, 40>
<being, 7>
<accused, 1>
<of, 166>
<bashfulness, 1>
<for, 96>
<there, 18>
<was, 110>
<so, 58>
<much, 29>
<good, 23>
<will, 25>
<in, 111>
<Jo, 91>
<it, 98>
<impossible, 3>
<not, 54>
<to, 230>
<take, 6>
<her, 219>
<blunt, 2>
<speeches, 1>
<as, 99>
<kindly, 4>
<they, 30>
<were, 25>
<meant, 4>
<Do, 5>
<like, 31>
<your, 17>
<school, 9>
<asked, 14>
<the, 366>
<boy, 18>
<changing, 1>
<subject, 1>
<after, 15>
<a, 189>
<little, 37>
<pause, 2>
<during, 2>
<which, 28>
<he, 101>
<stared, 2>
<fire, 5>
<and, 389>
<looked, 14>
<about, 30>
<well, 12>
<pleased, 3>
<Don, 6>
<go, 22>
<I, 170>
<m, 19>
<businessman, 1>
<girl, 11>
<mean, 6>
<wait, 2>
<on, 42>
<my, 22>
<great, 19>
<aunt, 1>
<dear, 10>
<cross, 3>
<old, 35>
<soul, 3>
<she, 123>
<is, 42>
<too, 13>
<answered, 5>
<opened, 5>
<his, 68>
<mouth, 2>
<ask, 5>
<another, 4>
<question, 4>
<remembering, 2>
<just, 8>
<time, 12>
<that, 87>
<manners, 4>
<make, 9>
<many, 8>
<inquiries, 1>
<into, 15>
<people, 7>
<s, 70>
<affairs, 1>
<shut, 3>
<uncomfortable, 2>
<liked, 10>
<breeding, 1>
<didn, 9>
<mind, 10>
<having, 9>
<laugh, 7>
<Aunt, 2>
<March, 24>
<gave, 9>
<him, 54>
<lively, 4>
<description, 2>
<fidgety, 2>
<lady, 11>
<fat, 1>
<poodle, 1>
<parrot, 1>
<talked, 5>
<Spanish, 1>
<library, 3>
<where, 9>
<reveled, 1>
<enjoyed, 3>
<immensely, 1>
<when, 23>
<told, 11>
<prim, 2>
<gentleman, 19>
<who, 29>
<came, 14>
<once, 10>
<woo, 1>
<middle, 2>
<fine, 8>
<speech, 3>
<how, 10>
<Poll, 1>
<had, 80>
<tweaked, 1>
<wig, 1>
<off, 9>
<dismay, 2>
<lay, 3>
<back, 5>
<laughed, 2>
<till, 12>
<tears, 3>
<ran, 2>
<down, 15>
<cheeks, 2>
<maid, 2>
<popped, 1>
<head, 8>
<see, 22>
<what, 18>
<matter, 2>
<Oh, 7>
<That, 15>
<does, 1>
<me, 29>
<no, 11>
<end, 4>
<Tell, 3>
<please, 4>
<said, 48>
<taking, 5>
<face, 12>
<out, 23>
<sofa, 4>
<cushion, 2>
<shining, 1>
<with, 75>
<merriment, 2>
<Much, 1>
<elated, 1>
<success, 2>
<did, 17>
<tell, 12>
<all, 33>
<their, 17>
<plays, 2>
<plans, 1>
<hopes, 2>
<fears, 2>
<Father, 2>
<most, 7>
<interesting, 2>
<events, 1>
<world, 4>
<sisters, 5>
<lived, 1>
<Then, 3>
<got, 26>
<talking, 4>
<books, 5>
<delight, 3>
<found, 14>
<loved, 2>
<them, 31>
<read, 4>
<even, 7>
<more, 18>
<than, 17>
<herself, 16>
<If, 9>
<come, 14>
<ours, 1>
<Grandfather, 1>
<needn, 4>
<be, 48>
<afraid, 10>
<getting, 6>
<up, 34>
<anything, 9>
<returned, 6>
<toss, 1>
<don, 19>
<believe, 4>
<are, 32>
<exclaimed, 4>
<looking, 10>
<admiration, 1>
<though, 6>
<privately, 2>
<thought, 11>
<would, 20>
<have, 32>
<reason, 2>
<trifle, 1>
<met, 2>
