<ay, 1>
<near, 5>
<the, 381>
<stake, 1>
<By, 3>
<George, 1>
<it, 97>
<s, 73>
<all, 40>
<up, 45>
<with, 80>
<us, 13>
<Goodbye, 1>
<Kate, 19>
<Miss, 21>
<Jo, 68>
<owes, 1>
<me, 36>
<one, 32>
<so, 46>
<you, 150>
<are, 27>
<finished, 3>
<cried, 6>
<Fred, 13>
<excitedly, 2>
<as, 109>
<they, 22>
<drew, 3>
<to, 258>
<see, 14>
<finish, 2>
<Yankees, 2>
<have, 55>
<a, 233>
<trick, 1>
<of, 176>
<being, 9>
<generous, 2>
<their, 16>
<enemies, 1>
<said, 87>
<look, 7>
<that, 71>
<made, 17>
<lad, 1>
<redden, 1>
<especially, 1>
<when, 27>
<beat, 2>
<them, 30>
<she, 76>
<added, 8>
<leaving, 2>
<ball, 1>
<untouched, 1>
<won, 10>
<game, 7>
<by, 34>
<clever, 3>
<stroke, 1>
<Laurie, 48>
<threw, 3>
<his, 82>
<hat, 6>
<then, 12>
<remembered, 1>
<wouldn, 8>
<t, 103>
<do, 58>
<exult, 1>
<over, 22>
<defeat, 1>
<guests, 1>
<and, 368>
<stopped, 2>
<in, 124>
<middle, 1>
<cheer, 1>
<whisper, 1>
<friend, 4>
<Good, 2>
<for, 85>
<He, 16>
<did, 17>
<cheat, 2>
<I, 238>
<saw, 9>
<him, 52>
<We, 8>
<can, 21>
<tell, 15>
<but, 67>
<he, 102>
<again, 8>
<take, 11>
<my, 27>
<word, 4>
<Meg, 47>
<her, 93>
<aside, 2>
<under, 6>
<pretense, 1>
<pinning, 1>
<loose, 1>
<braid, 1>
<approvingly, 1>
<It, 21>
<was, 81>
<dreadfully, 1>
<provoking, 1>
<kept, 5>
<your, 29>
<temper, 2>
<m, 31>
<glad, 10>
<Don, 8>
<praise, 1>
<could, 17>
<box, 4>
<ears, 1>
<this, 15>
<minute, 3>
<should, 16>
<certainly, 1>
<boiled, 1>
<if, 37>
<hadn, 1>
<stayed, 1>
<among, 4>
<nettles, 1>
<till, 13>
<got, 18>
<rage, 1>
<control, 1>
<enough, 2>
<hold, 1>
<tongue, 3>
<simmering, 1>
<now, 15>
<hope, 8>
<ll, 25>
<keep, 6>
<out, 32>
<way, 13>
<returned, 4>
<biting, 1>
<lips, 3>
<glowered, 1>
<at, 56>
<from, 18>
<big, 4>
<Time, 1>
<lunch, 3>
<Mr, 22>
<Brooke, 26>
<looking, 13>
<watch, 3>
<Commissary, 1>
<general, 3>
<will, 19>
<make, 8>
<fire, 2>
<get, 21>
<water, 2>
<while, 12>
<March, 3>
<Sallie, 11>
<spread, 3>
<table, 2>
<Who, 4>
<good, 24>
<coffee, 2>
<recommend, 1>
