<ver, 1>
<lectures, 1>
<all, 49>
<the, 332>
<way, 12>
<home, 18>
<he, 35>
<asked, 16>
<presently, 3>
<Of, 4>
<course, 4>
<not, 34>
<Why, 5>
<Because, 2>
<if, 39>
<you, 125>
<are, 25>
<I, 256>
<ll, 20>
<take, 18>
<a, 197>
<bus, 1>
<If, 3>
<re, 2>
<d, 19>
<like, 28>
<to, 254>
<walk, 1>
<with, 87>
<and, 420>
<tell, 18>
<something, 10>
<very, 36>
<interesting, 3>
<won, 16>
<t, 107>
<preach, 1>
<any, 7>
<more, 9>
<hear, 5>
<news, 4>
<immensely, 1>
<Very, 1>
<well, 25>
<then, 11>
<come, 20>
<on, 50>
<It, 35>
<s, 85>
<secret, 4>
<must, 8>
<me, 50>
<yours, 1>
<haven, 4>
<got, 12>
<began, 7>
<Jo, 88>
<but, 61>
<stopped, 1>
<suddenly, 6>
<remembering, 2>
<that, 66>
<she, 90>
<had, 37>
<You, 16>
<know, 15>
<have, 44>
<can, 20>
<hide, 3>
<anything, 10>
<so, 51>
<up, 25>
<fess, 1>
<or, 22>
<cried, 14>
<Laurie, 34>
<Is, 2>
<your, 20>
<nice, 6>
<one, 35>
<Oh, 12>
<isn, 5>
<it, 126>
<All, 7>
<about, 28>
<people, 5>
<such, 7>
<fun, 4>
<ought, 5>
<ve, 6>
<been, 14>
<aching, 1>
<this, 18>
<long, 11>
<time, 16>
<Come, 5>
<begin, 1>
<say, 14>
<at, 56>
<will, 31>
<Not, 1>
<word, 3>
<And, 13>
<tease, 2>
<in, 125>
<private, 2>
<never, 20>
<Yes, 3>
<do, 36>
<get, 14>
<everything, 6>
<want, 4>
<out, 31>
<of, 148>
<don, 21>
<how, 16>
<born, 2>
<wheedler, 1>
<Thank, 4>
<Fire, 1>
<away, 30>
<Well, 3>
<left, 3>
<two, 9>
<stories, 4>
<newspaperman, 1>
<give, 7>
<his, 22>
<answer, 2>
<next, 7>
<week, 7>
<whispered, 3>
<her, 166>
<confidant, 1>
<ear, 2>
<Hurrah, 1>
<for, 115>
<Miss, 6>
<March, 32>
<celebrated, 1>
<American, 1>
<authoress, 2>
<throwing, 2>
<hat, 5>
<catching, 1>
<again, 13>
<great, 10>
<delight, 1>
<ducks, 1>
<four, 3>
<cats, 1>
<five, 3>
<hens, 1>
<half, 5>
<dozen, 4>
<Irish, 1>
<children, 6>
<they, 39>
<were, 23>
<city, 1>
<now, 11>
<Hush, 1>
<dare, 3>
<couldn, 4>
<rest, 5>
<till, 16>
<tried, 7>
<said, 62>
<nothing, 4>
<because, 3>
<didn, 13>
