<, 1>
<haven, 1>
<t, 72>
<said, 36>
<Jo, 60>
<decidedly, 2>
<Which, 2>
<will, 37>
<you, 81>
<have, 25>
<Beth, 53>
<There, 5>
<ain, 1>
<no, 19>
<need, 3>
<of, 153>
<but, 67>
<one, 28>
<aid, 1>
<Hannah, 26>
<please, 2>
<And, 11>
<leaned, 1>
<her, 248>
<head, 11>
<against, 1>
<sister, 8>
<with, 94>
<a, 187>
<contented, 1>
<look, 12>
<which, 43>
<effectually, 2>
<settled, 3>
<that, 85>
<point, 2>
<I, 195>
<ll, 18>
<go, 25>
<and, 400>
<tell, 14>
<Amy, 56>
<Meg, 40>
<feeling, 11>
<little, 44>
<hurt, 1>
<yet, 6>
<rather, 9>
<relieved, 3>
<on, 51>
<the, 357>
<whole, 1>
<for, 98>
<she, 159>
<did, 31>
<not, 49>
<like, 30>
<nursing, 1>
<rebelled, 1>
<outright, 1>
<passionately, 1>
<declared, 1>
<had, 58>
<fever, 8>
<than, 18>
<to, 276>
<Aunt, 26>
<March, 39>
<reasoned, 1>
<pleaded, 1>
<commanded, 2>
<all, 40>
<in, 129>
<vain, 3>
<protested, 1>
<would, 27>
<left, 9>
<despair, 1>
<ask, 3>
<what, 7>
<should, 9>
<be, 55>
<done, 10>
<Before, 2>
<came, 22>
<back, 11>
<Laurie, 53>
<walked, 3>
<into, 16>
<parlor, 3>
<find, 5>
<sobbing, 1>
<sofa, 3>
<cushions, 2>
<She, 39>
<told, 13>
<story, 6>
<expecting, 1>
<consoled, 1>
<only, 14>
<put, 11>
<his, 42>
<hands, 7>
<pockets, 2>
<about, 37>
<room, 8>
<whistling, 1>
<softly, 2>
<as, 84>
<he, 53>
<knit, 1>
<brows, 1>
<deep, 3>
<thought, 12>
<Presently, 2>
<sat, 8>
<down, 18>
<beside, 1>
<most, 9>
<wheedlesome, 1>
<tone, 2>
<Now, 6>
<sensible, 2>
<woman, 3>
<do, 26>
<they, 18>
<say, 13>
<No, 10>
<don, 23>
<cry, 7>
<hear, 5>
<jolly, 1>
<plan, 3>
<ve, 8>
<got, 9>
<You, 4>
<s, 91>
<come, 9>
<take, 10>
<out, 31>
<every, 9>
<day, 22>
<driving, 1>
<or, 20>
<walking, 1>
<we, 21>
<capital, 3>
<times, 5>
<Won, 1>
<better, 13>
<moping, 1>
<here, 8>
<wish, 10>
<sent, 6>
<off, 16>
<if, 40>
<was, 101>
<way, 13>
<began, 8>
<an, 19>
<injured, 1>
<voice, 5>
<Bless, 3>
<your, 26>
<heart, 13>
<child, 6>
<it, 133>
<keep, 9>
<well, 15>
<want, 8>
<sick, 5>
<m, 15>
<sure, 2>
<dare, 4>
<shall, 8>
<been, 14>
<time, 13>
<That, 7>
<very, 23>
<reason, 2>
<ought, 5>
<away, 15>
<at, 67>
<once, 13>
<so, 63>
<may, 4>
<escape, 1>
<Change, 1>
<air, 4>
<care, 2>
<does, 4>
<entirely, 1>
<more, 12>
<lightly, 2>
<advise, 1>
<soon, 7>
<can, 24>
<scarlet, 1>
<is, 44>
<joke, 1>
<miss, 2>
<But, 9>
<dull, 3>
<cross, 4>
<looking, 10>
<frightened, 3>
<It, 18>
<won, 7>
<me, 45>
<popping, 1>
<how, 13>
<gallivanting, 1>
<The, 21>
<old, 24>
<lady, 12>
<likes, 4>
<sweet, 3>
<possible, 3>
<peck, 2>
<us, 12>
<whatever, 1>
<Will, 1>
<trotting, 1>
<wagon, 1>
<Puck, 1>
<On, 3>
<my, 62>
<honor, 1>
<gentleman, 1>
<single, 1>
<See, 2>
<bring, 1>
<minute, 9>
<identical, 1>
<theater, 1>
<truly, 3>
<A, 5>
<dozen, 3>
<theaters, 1>
<Well, 4>
<guess, 2>
<slowly, 3>
<Good, 4>
<girl, 10>
<Call, 1>
<give, 12>
<approving, 3>
<pat, 1>
<annoyed, 1>
<giving, 4>
<running, 3>
<behold, 1>
<miracle, 1>
<wrought, 1>
<precious, 6>
<self, 1>
<sacrificing, 1>
<promised, 1>
<doctor, 8>
<going, 5>
<ill, 5>
<How, 6>
<dear, 18>
<asked, 20>
<especial, 1>
<pet, 1>
<felt, 16>
<anxious, 5>
<liked, 5>
<show, 3>
<lying, 2>
<Mother, 18>
<bed, 8>
<feels, 2>
<baby, 3>
<death, 5>
<troubled, 2>
<has, 5>
<cold, 2>
<says, 2>
<thinks, 1>
<looks, 6>
<worried, 4>
<makes, 2>
<fidgety, 2>
<answered, 3>
<What, 10>
<trying, 4>
<world, 6>
<rumpling, 1>
<up, 32>
<hair, 7>
<fretful, 1>
<sooner, 1>
<get, 9>
<trouble, 5>
<comes, 5>
<another, 2>
<doesn, 6>
<seem, 6>
<anything, 8>
<hold, 3>
<when, 41>
<gone, 6>
<sea, 1>
<make, 10>
<porcupine, 1>
<yourself, 1>
<isn, 6>
<becoming, 2>
<Settle, 1>
<wig, 1>
<telegraph, 1>
<mother, 25>
<who, 17>
<never, 18>
<reconciled, 1>
<loss, 2>
<friend, 5>
<beauty, 4>
<troubles, 2>
<think, 21>
<really, 4>
<mustn, 1>
<leave, 10>
<Father, 7>
<them, 18>
<long, 11>
<knows, 1>
<just, 7>
<were, 17>
<mind, 8>
<suppose, 1>
<must, 6>
<quite, 6>
<right, 10>
<Hum, 1>
<Suppose, 1>
<Grandfather, 1>
<after, 7>
<We, 5>
<Dr, 5>
<Bangs, 5>
<decide, 1>
<till, 11>
<Stay, 1>
<where, 6>
<are, 8>
<errand, 1>
<boy, 5>
<this, 18>
<establishment, 1>
<taking, 4>
<cap, 2>
<afraid, 3>
<busy, 5>
<lessons, 3>
<Do, 4>
<study, 1>
<vacation, 1>
<follow, 1>
<good, 23>
<example, 1>
<neighbors, 2>
<set, 4>
<answer, 2>
<swung, 1>
<himself, 3>
<great, 15>
<hopes, 1>
<observed, 2>
<watching, 5>
<him, 31>
<fly, 2>
<over, 22>
<fence, 1>
<smile, 4>
<He, 9>
<somewhat, 1>
<ungracious, 1>
<subject, 1>
<interest, 2>
<symptoms, 1>
<though, 8>
<looked, 10>
<sober, 3>
<Hummel, 2>
<ordered, 2>
<provided, 1>
<something, 11>
<ward, 1>
<danger, 4>
<departed, 3>
<state, 3>
<escort, 1>
<received, 2>
<usual, 2>
<hospitality, 1>
<now, 16>
<sharply, 2>
<spectacles, 1>
<while, 19>
<parrot, 4>
<sitting, 5>
<chair, 10>
<called, 6>
<Go, 1>
<boys, 1>
<allowed, 9>
<retired, 1>
<window, 3>
<expected, 1>
<poking, 1>
<among, 2>
<poor, 6>
<folks, 1>
<stay, 2>
<herself, 13>
<useful, 1>
<doubt, 2>
<Don, 3>
<worries, 1>
<people, 4>
<sniff, 2>
<crying, 3>
<slyly, 1>
<pulled, 4>
<tail, 1>
<caused, 1>
<Polly, 12>
<utter, 2>
<astonished, 1>
<croak, 1>
<call, 3>
<boots, 3>
<such, 7>
<funny, 4>
<laughed, 3>
<instead, 2>
<from, 13>
<gruffly, 1>
<much, 15>
<replied, 2>
<Oh, 11>
<last, 7>
<fancy, 4>
<any, 11>
<stamina, 1>
<cheerful, 2>
<reply, 1>
<Ha, 3>
<ha, 1>
<Never, 2>
<die, 4>
<pinch, 1>
<snuff, 1>
<goodbye, 2>
<squalled, 1>
<dancing, 1>
<perch, 1>
<clawing, 1>
<tweaked, 1>
<rear, 1>
<Hold, 4>
<tongue, 3>
<disrespectful, 2>
<bird, 6>
<d, 9>
<proper, 2>
<gadding, 1>
<late, 2>
<rattlepated, 2>
<cried, 9>
<tumbling, 1>
<bounce, 1>
<shaking, 2>
<laughter, 1>
<speech, 3>
<bear, 7>
<try, 10>
<alone, 8>
<Get, 2>
<along, 4>
<fright, 2>
<screamed, 1>
<rude, 1>
<could, 22>
<restrain, 1>
<CHAPTER, 3>
<EIGHTEEN, 1>
<DARK, 1>
<DAYS, 1>
<sicker, 1>
<anyone, 3>
<suspected, 1>
<girls, 9>
<knew, 4>
<nothing, 6>
<illness, 2>
<Mr, 10>
<Laurence, 7>
<see, 11>
<everything, 3>
<own, 5>
<best, 13>
<deal, 3>
<excellent, 4>
<nurse, 2>
<stayed, 1>
<home, 14>
<lest, 3>
<infect, 1>
<Kings, 1>
<kept, 8>
<house, 9>
<guilty, 1>
<wrote, 3>
<letters, 2>
<mention, 1>
<made, 13>
<deceive, 1>
<bidden, 1>
<wouldn, 2>
<Mrs, 12>
<bein, 1>
<sech, 1>
<trifle, 1>
<devoted, 2>
<night, 8>
<hard, 8>
<task, 1>
<patient, 1>
<bore, 1>
<pain, 2>
<uncomplainingly, 1>
<control, 1>
<there, 12>
<during, 1>
