<t, 121>
<and, 399>
<likes, 4>
<brown, 4>
<eyes, 13>
<doesn, 4>
<think, 23>
<John, 17>
<an, 21>
<ugly, 1>
<name, 4>
<she, 94>
<ll, 35>
<go, 24>
<fall, 3>
<in, 129>
<love, 15>
<there, 11>
<s, 117>
<end, 5>
<of, 152>
<peace, 2>
<fun, 7>
<cozy, 1>
<times, 1>
<together, 8>
<I, 269>
<see, 15>
<it, 118>
<all, 35>
<They, 2>
<lovering, 1>
<around, 1>
<the, 320>
<house, 7>
<we, 17>
<shall, 13>
<have, 41>
<to, 262>
<dodge, 1>
<Meg, 73>
<will, 31>
<be, 60>
<absorbed, 2>
<no, 21>
<good, 18>
<me, 47>
<any, 11>
<more, 17>
<Brooke, 24>
<scratch, 1>
<up, 41>
<a, 209>
<fortune, 4>
<somehow, 2>
<carry, 2>
<her, 174>
<off, 9>
<make, 21>
<hole, 1>
<family, 6>
<break, 3>
<my, 44>
<heart, 7>
<everything, 5>
<abominably, 1>
<uncomfortable, 1>
<Oh, 8>
<dear, 11>
<Why, 5>
<weren, 1>
<boys, 3>
<then, 12>
<wouldn, 9>
<bother, 1>
<Jo, 96>
<leaned, 2>
<chin, 1>
<on, 52>
<knees, 2>
<disconsolate, 1>
<attitude, 1>
<shook, 2>
<fist, 2>
<at, 52>
<reprehensible, 1>
<Mrs, 22>
<March, 33>
<sighed, 2>
<looked, 16>
<with, 76>
<air, 10>
<relief, 3>
<You, 15>
<don, 28>
<like, 23>
<Mother, 12>
<m, 22>
<glad, 4>
<Let, 5>
<send, 4>
<him, 61>
<about, 26>
<his, 67>
<business, 2>
<not, 45>
<tell, 19>
<word, 13>
<but, 67>
<happy, 5>
<as, 89>
<always, 2>
<been, 20>
<did, 16>
<wrong, 3>
<sigh, 1>
<It, 22>
<is, 33>
<natural, 2>
<right, 9>
<you, 111>
<should, 14>
<homes, 1>
<your, 27>
<own, 15>
<time, 11>
<do, 32>
<want, 6>
<keep, 10>
<girls, 9>
<long, 8>
<can, 23>
<am, 14>
<sorry, 7>
<that, 89>
<this, 22>
<happened, 4>
<so, 58>
<soon, 8>
<for, 100>
<only, 14>
<seventeen, 1>
<some, 11>
<years, 1>
<before, 10>
<home, 6>
<Your, 2>
<father, 21>
<agreed, 1>
<bind, 1>
<herself, 17>
<way, 19>
<nor, 5>
<married, 2>
<twenty, 2>
<If, 14>
<one, 27>
<another, 7>
<they, 20>
<wait, 8>
<test, 1>
<by, 43>
<doing, 2>
<She, 17>
<conscientious, 1>
<fear, 5>
<treating, 1>
<unkindly, 1>
<My, 3>
<pretty, 7>
<tender, 3>
<hearted, 1>
<girl, 8>
<hope, 5>
<things, 8>
<happily, 2>
<Hadn, 1>
<rather, 16>
<marry, 2>
<rich, 3>
<man, 12>
<asked, 17>
<mother, 17>
<voice, 7>
<faltered, 3>
<little, 27>
<over, 25>
<last, 3>
<words, 4>
<Money, 1>
<useful, 2>
<thing, 2>
<never, 16>
<feel, 4>
<need, 3>
<too, 11>
<bitterly, 1>
<tempted, 1>
<much, 22>
<know, 21>
<was, 97>
<firmly, 1>
<established, 1>
<which, 35>
<gave, 8>
<income, 1>
<large, 1>
<enough, 9>
<free, 2>
<from, 21>
<debt, 1>
<comfortable, 2>
<ambitious, 2>
<splendid, 2>
<fashionable, 2>
<position, 1>
<or, 16>
<great, 5>
<rank, 1>
<money, 2>
<come, 8>
<virtue, 1>
<also, 3>
<accept, 2>
<them, 13>
<gratefully, 4>
<enjoy, 2>
<experience, 2>
<how, 21>
<genuine, 1>
<happiness, 4>
<had, 59>
<plain, 1>
<where, 4>
<daily, 2>
<bread, 1>
<earned, 2>
<privations, 1>
<give, 8>
<sweetness, 2>
<few, 3>
<pleasures, 1>
<content, 2>
<begin, 4>
<humbly, 1>
<if, 37>
<mistaken, 1>
<possession, 3>
<better, 6>
<than, 12>
<understand, 1>
<quite, 17>
<agree, 4>
<disappointed, 1>
<d, 13>
<planned, 3>
<Teddy, 7>
