<nd, 1>
<I, 1>
<m, 1>
<so, 1>
<surprised, 1>
<to, 1>
<see, 1>
<you, 1>
<stammered, 1>
<Meg, 1>
<feeling, 1>
<that, 1>
<she, 1>
<was, 1>
<in, 1>
<for, 1>
<a, 1>
<lecture, 1>
<now, 1>
<That, 1>
<s, 1>
<evident, 1>
<returned, 1>
<Aunt, 1>
<March, 1>
<sitting, 1>
<down, 1>
<But, 1>
<what, 1>
<is, 1>
<Father, 1>
<s, 1>
<friend, 1>
<saying, 1>
<to, 1>
<make, 1>
<you, 1>
<look, 1>
<like, 1>
<a, 1>
<peony, 1>
<There, 1>
<s, 1>
<mischief, 1>
<going, 1>
<on, 1>
<and, 1>
<I, 1>
<insist, 1>
<upon, 1>
<knowing, 1>
<what, 1>
<it, 1>
<is, 1>
<with, 1>
<another, 1>
<rap, 1>
<We, 1>
<were, 1>
<only, 1>
<talking, 1>
<Mr, 1>
<Brooke, 1>
<came, 1>
<for, 1>
<his, 1>
<umbrella, 1>
<began, 1>
<Meg, 1>
<wishing, 1>
<that, 1>
<Mr, 1>
<Brooke, 1>
<and, 1>
<the, 1>
<umbrella, 1>
<were, 1>
<safely, 1>
<out, 1>
<of, 1>
<the, 1>
<house, 1>
<Brooke, 1>
<That, 1>
<boy, 1>
<s, 1>
<tutor, 1>
<Ah, 1>
<I, 1>
<understand, 1>
<now, 1>
<I, 1>
<know, 1>
<all, 1>
<about, 1>
<it, 1>
<Jo, 1>
<blundered, 1>
<into, 1>
<a, 1>
<wrong, 1>
<message, 1>
<in, 1>
<one, 1>
<of, 1>
<your, 1>
<Father, 1>
<s, 1>
<letters, 1>
<and, 1>
<I, 1>
<made, 1>
<her, 1>
<tell, 1>
<me, 1>
<You, 1>
<haven, 1>
<t, 1>
<gone, 1>
<and, 1>
<accepted, 1>
<him, 1>
<child, 1>
<cried, 1>
<Aunt, 1>
<March, 1>
<looking, 1>
<scandalized, 1>
<Hush, 1>
<He, 1>
<ll, 1>
<hear, 1>
<Shan, 1>
<t, 1>
<I, 1>
<call, 1>
<Mother, 1>
<said, 1>
<Meg, 1>
<much, 1>
<troubled, 1>
<Not, 1>
<yet, 1>
<I, 1>
<ve, 1>
<something, 1>
<to, 1>
<say, 1>
<to, 1>
<you, 1>
<and, 1>
<I, 1>
<must, 1>
<free, 1>
<my, 1>
<mind, 1>
<at, 1>
<once, 1>
<Tell, 1>
<me, 1>
<do, 1>
<you, 1>
<mean, 1>
<to, 1>
<marry, 1>
<this, 1>
<Cook, 1>
<If, 1>
<you, 1>
<do, 1>
<not, 1>
<one, 1>
<penny, 1>
<of, 1>
<my, 1>
<money, 1>
<ever, 1>
<goes, 1>
<to, 1>
<you, 1>
<Remember, 1>
<that, 1>
<and, 1>
<be, 1>
<a, 1>
<sensible, 1>
<girl, 1>
<said, 1>
<the, 1>
<old, 1>
<lady, 1>
<impressively, 1>
<Now, 1>
<Aunt, 1>
<March, 1>
<possessed, 1>
<in, 1>
<perfection, 1>
<the, 1>
<art, 1>
<of, 1>
<rousing, 1>
<the, 1>
<spirit, 1>
<of, 1>
<opposition, 1>
<in, 1>
<the, 1>
<gentlest, 1>
<people, 1>
<and, 1>
<enjoyed, 1>
<doing, 1>
<it, 1>
<The, 1>
<best, 1>
<of, 1>
<us, 1>
<have, 1>
<a, 1>
<spice, 1>
<of, 1>
<perversity, 1>
<in, 1>
<us, 1>
<especially, 1>
<when, 1>
<we, 1>
<are, 1>
<young, 1>
<and, 1>
<in, 1>
<love, 1>
<If, 1>
<Aunt, 1>
<March, 1>
<had, 1>
<begged, 1>
<Meg, 1>
<to, 1>
<accept, 1>
<John, 1>
<Brooke, 1>
<she, 1>
<would, 1>
