<teroom, 1>
<filling, 1>
<the, 1>
<baskets, 1>
<she, 1>
<took, 1>
<up, 1>
<her, 1>
<pet, 1>
<production, 1>
<a, 1>
<little, 1>
<book, 1>
<the, 1>
<antique, 1>
<cover, 1>
<of, 1>
<which, 1>
<her, 1>
<father, 1>
<had, 1>
<found, 1>
<among, 1>
<his, 1>
<treasures, 1>
<and, 1>
<in, 1>
<which, 1>
<on, 1>
<leaves, 1>
<of, 1>
<vellum, 1>
<she, 1>
<had, 1>
<beautifully, 1>
<illuminated, 1>
<different, 1>
<texts, 1>
<As, 1>
<she, 1>
<turned, 1>
<the, 1>
<pages, 1>
<rich, 1>
<in, 1>
<dainty, 1>
<devices, 1>
<with, 1>
<very, 1>
<pardonable, 1>
<pride, 1>
<her, 1>
<eye, 1>
<fell, 1>
<upon, 1>
<one, 1>
<verse, 1>
<that, 1>
<made, 1>
<her, 1>
<stop, 1>
<and, 1>
<think, 1>
<Framed, 1>
<in, 1>
<a, 1>
<brilliant, 1>
<scrollwork, 1>
<of, 1>
<scarlet, 1>
<blue, 1>
<and, 1>
<gold, 1>
<with, 1>
<little, 1>
<spirits, 1>
<of, 1>
<good, 1>
<will, 1>
<helping, 1>
<one, 1>
<another, 1>
<up, 1>
<and, 1>
<down, 1>
<among, 1>
<the, 1>
<thorns, 1>
<and, 1>
<flowers, 1>
<were, 1>
<the, 1>
<words, 1>
<Thou, 1>
<shalt, 1>
<love, 1>
<thy, 1>
<neighbor, 1>
<as, 1>
<thyself, 1>
<I, 1>
<ought, 1>
<but, 1>
<I, 1>
<don, 1>
<t, 1>
<thought, 1>
<Amy, 1>
<as, 1>
<her, 1>
<eye, 1>
<went, 1>
<from, 1>
<the, 1>
<bright, 1>
<page, 1>
<to, 1>
<May, 1>
<s, 1>
<discontented, 1>
<face, 1>
<behind, 1>
<the, 1>
<big, 1>
<vases, 1>
<that, 1>
<could, 1>
<not, 1>
<hide, 1>
<the, 1>
<vacancies, 1>
<her, 1>
<pretty, 1>
<work, 1>
<had, 1>
<once, 1>
<filled, 1>
<Amy, 1>
<stood, 1>
<a, 1>
<minute, 1>
<turning, 1>
<the, 1>
<leaves, 1>
<in, 1>
<her, 1>
<hand, 1>
<reading, 1>
<on, 1>
<each, 1>
<some, 1>
<sweet, 1>
<rebuke, 1>
<for, 1>
<all, 1>
<heartburnings, 1>
<and, 1>
<uncharitableness, 1>
<of, 1>
<spirit, 1>
<Many, 1>
<wise, 1>
<and, 1>
<true, 1>
<sermons, 1>
<are, 1>
<preached, 1>
<us, 1>
<every, 1>
<day, 1>
<by, 1>
<unconscious, 1>
<ministers, 1>
<in, 1>
<street, 1>
<school, 1>
<office, 1>
<or, 1>
<home, 1>
<Even, 1>
<a, 1>
<fair, 1>
<table, 1>
<may, 1>
<become, 1>
<a, 1>
<pulpit, 1>
<if, 1>
<it, 1>
<can, 1>
<offer, 1>
<the, 1>
<good, 1>
<and, 1>
<helpful, 1>
<words, 1>
<which, 1>
<are, 1>
<never, 1>
<out, 1>
<of, 1>
<season, 1>
<Amy, 1>
<s, 1>
<conscience, 1>
<preached, 1>
<her, 1>
<a, 1>
<little, 1>
<sermon, 1>
<from, 1>
<that, 1>
<text, 1>
<then, 1>
<and, 1>
<there, 1>
<and, 1>
<she, 1>
<did, 1>
<what, 1>
<many, 1>
<of, 1>
<us, 1>
<do, 1>
<not, 1>
<always, 1>
<do, 1>
<took, 1>
<the, 1>
<sermon, 1>
<to, 1>
<heart, 1>
<and, 1>
<straightway, 1>
<put, 1>
<it, 1>
<in, 1>
<practice, 1>
<A, 1>
<group, 1>
<of, 1>
<girls, 1>
<were, 1>
<standing, 1>
<about, 1>
<May, 1>
<s, 1>
<table, 1>
<admiring, 1>
<the, 1>
<pretty, 1>
<things, 1>
<and, 1>
<talking, 1>
<over, 1>
<the, 1>
<change, 1>
<of, 1>
<saleswomen, 1>
<They, 1>
<dropped, 1>
<their, 1>
<voices, 1>
<but, 1>
<Amy, 1>
<knew, 1>
<they, 1>
<were, 1>
<speaking, 1>
<of, 1>
<her, 1>
<hearing, 1>
<one, 1>
<side, 1>
<of, 1>
<the, 1>
<story, 1>
<and, 1>
<judging, 1>
<accordingly, 1>
<It, 1>
<was, 1>
<not, 1>
<pleasant, 1>
<but, 1>
<a, 1>
<better, 1>
<spirit, 1>
<had, 1>
<come, 1>
<over, 1>
<her, 1>
<and, 1>
<presently, 1>
<a, 1>
<chance, 1>
<offered, 1>
<for, 1>
<proving, 1>
<it, 1>
<She, 1>
<heard, 1>
<May, 1>
<say, 1>
<sorrowfully, 1>
<It, 1>
<s, 1>
<too, 1>
<bad, 1>
<for, 1>
<there, 1>
<is, 1>
<no, 1>
<time, 1>
<to, 1>
<make, 1>
<other, 1>
<things, 1>
<and, 1>
<I, 1>
<don, 1>
<t, 1>
<want, 1>
<to, 1>
<fill, 1>
<up, 1>
<with, 1>
<odds, 1>
<and, 1>
<ends, 1>
<The, 1>
<table, 1>
<was, 1>
<just, 1>
<complete, 1>
<then, 1>
<Now, 1>
<it, 1>
<s, 1>
<spoiled, 1>
<I, 1>
<dare, 1>
<say, 1>
<she, 1>
<d, 1>
<put, 1>
<them, 1>
<back, 1>
<if, 1>
<you, 1>
<asked, 1>
<her, 1>
<suggested, 1>
<someone, 1>
<How, 1>
<could, 1>
<I, 1>
<after, 1>
<all, 1>
<the, 1>
<fuss, 1>
<began, 1>
<May, 1>
<but, 1>
<she, 1>
<did, 1>
<not, 1>
<finish, 1>
<for, 1>
<Amy, 1>
<s, 1>
<voice, 1>
<came, 1>
<across, 1>
<the, 1>
<hall, 1>
<saying, 1>
<pleasantly, 1>
<You, 1>
<may, 1>
<have, 1>
<them, 1>
<and, 1>
<welcome, 1>
<without, 1>
<asking, 1>
<if, 1>
<you, 1>
<want, 1>
<them, 1>
<I, 1>
<was, 1>
<just, 1>
<thinking, 1>
<I, 1>
<d, 1>
<offer, 1>
<to, 1>
<put, 1>
<them, 1>
<back, 1>
<for, 1>
<they, 1>
<belong, 1>
<to, 1>
<your, 1>
<table, 1>
<rather, 1>
<than, 1>
<mine, 1>
<Here, 1>
<they, 1>
<are, 1>
<please, 1>
<take, 1>
<them, 1>
<and, 1>
<forgive, 1>
<me, 1>
<if, 1>
<I, 1>
<was, 1>
<hasty, 1>
<in, 1>
<carrying, 1>
<them, 1>
<away, 1>
<last, 1>
<night, 1>
<As, 1>
<she, 1>
<spoke, 1>
<Amy, 1>
<returned, 1>
<her, 1>
<contribution, 1>
<with, 1>
<a, 1>
<nod, 1>
<and, 1>
<a, 1>
<smile, 1>
<and, 1>
<hurried, 1>
<away, 1>
<again, 1>
<feeling, 1>
<that, 1>
<it, 1>
<was, 1>
<easier, 1>
<to, 1>
<do, 1>
<a, 1>
<friendly, 1>
<thing, 1>
<than, 1>
<it, 1>
<was, 1>
<to, 1>
<stay, 1>
<and, 1>
<be, 1>
<thanked, 1>
<for, 1>
<it, 1>
<Now, 1>
<I, 1>
<call, 1>
<that, 1>
<lovely, 1>
<of, 1>
<her, 1>
<don, 1>
<t, 1>
<you, 1>
<cried, 1>
<one, 1>
<girl, 1>
<May, 1>
<s, 1>
<answer, 1>
<was, 1>
<inaudible, 1>
<but, 1>
<another, 1>
<young, 1>
<lady, 1>
<whose, 1>
<temper, 1>
<was, 1>
<evidently, 1>
<a, 1>
<little, 1>
<soured, 1>
<by, 1>
<making, 1>
<lemonade, 1>
<added, 1>
<with, 1>
<a, 1>
<disagreeable, 1>
<laugh, 1>
<Very, 1>
<lovely, 1>
<for, 1>
<she, 1>
<knew, 1>
<she, 1>
<wouldn, 1>
<t, 1>
<sell, 1>
<them, 1>
<at, 1>
<her, 1>
<own, 1>
<table, 1>
<Now, 1>
<that, 1>
<was, 1>
<hard, 1>
<When, 1>
<we, 1>
<make, 1>
<little, 1>
<sacrifices, 1>
<we, 1>
<like, 1>
<to, 1>
<have, 1>
<them, 1>
<appreciated, 1>
<at, 1>
<least, 1>
<and, 1>
<for, 1>
<a, 1>
<minute, 1>
<Amy, 1>
<was, 1>
<sorry, 1>
<she, 1>
<had, 1>
<done, 1>
<it, 1>
<feeling, 1>
<that, 1>
<virtue, 1>
<was, 1>
<not, 1>
<always, 1>
<its, 1>
<own, 1>
<reward, 1>
<But, 1>
<it, 1>
<is, 1>
<as, 1>
<she, 1>
<presently, 1>
<discovered, 1>
<for, 1>
<her, 1>
<spirits, 1>
<began, 1>
<to, 1>
<rise, 1>
<and, 1>
<her, 1>
<table, 1>
<to, 1>
<blossom, 1>
<under, 1>
<her, 1>
<skillful, 1>
<hands, 1>
<the, 1>
<girls, 1>
<were, 1>
<very, 1>
<kind, 1>
<and, 1>
<that, 1>
<one, 1>
<little, 1>
<act, 1>
<seemed, 1>
<to, 1>
<have, 1>
<cleared, 1>
<the, 1>
<atmosphere, 1>
<amazingly, 1>
<It, 1>
<was, 1>
<a, 1>
<very, 1>
<long, 1>
<day, 1>
<and, 1>
<a, 1>
<hard, 1>
<one, 1>
<for, 1>
<Amy, 1>
<as, 1>
<she, 1>
<sat, 1>
<behind, 1>
<her, 1>
<table, 1>
<often, 1>
<quite, 1>
<alone, 1>
<for, 1>
<the, 1>
<little, 1>
<girls, 1>
<deserted, 1>
<very, 1>
<soon, 1>
<Few, 1>
<cared, 1>
<to, 1>
<buy, 1>
<flowers, 1>
<in, 1>
<summer, 1>
<and, 1>
<her, 1>
<bouquets, 1>
<began, 1>
<to, 1>
<droop, 1>
<long, 1>
<before, 1>
<night, 1>
<The, 1>
<art, 1>
<table, 1>
<was, 1>
<the, 1>
<most, 1>
<attractive, 1>
<in, 1>
<the, 1>
<room, 1>
<There, 1>
<was, 1>
<a, 1>
<crowd, 1>
<about, 1>
<it, 1>
<all, 1>
<day, 1>
<long, 1>
<and, 1>
<the, 1>
<tenders, 1>
<were, 1>
<constantly, 1>
<flying, 1>
<to, 1>
<and, 1>
<fro, 1>
<with, 1>
<important, 1>
<faces, 1>
<and, 1>
<rattling, 1>
<money, 1>
<boxes, 1>
<Amy, 1>
<often, 1>
<looked, 1>
<wistfully, 1>
<across, 1>
<longing, 1>
<to, 1>
<be, 1>
<there, 1>
<where, 1>
<she, 1>
<felt, 1>
<at, 1>
<home, 1>
<and, 1>
<happy, 1>
<instead, 1>
<of, 1>
<in, 1>
<a, 1>
<corner, 1>
<with, 1>
<nothing, 1>
<to, 1>
<do, 1>
<It, 1>
<might, 1>
<seem, 1>
<no, 1>
<hardship, 1>
<to, 1>
<some, 1>
<of, 1>
<us, 1>
<but, 1>
<to, 1>
<a, 1>
<pretty, 1>
<blithe, 1>
<young, 1>
<girl, 1>
<it, 1>
<was, 1>
<not, 1>
<only, 1>
<tedious, 1>
<but, 1>
<very, 1>
<trying, 1>
<and, 1>
<the, 1>
<thought, 1>
<of, 1>
<Laurie, 1>
<and, 1>
<his, 1>
<friends, 1>
<made, 1>
<it, 1>
<a, 1>
<real, 1>
<martyrdom, 1>
<She, 1>
<did, 1>
<not, 1>
<go, 1>
<home, 1>
<till, 1>
<night, 1>
<and, 1>
<then, 1>
<she, 1>
<looked, 1>
<so, 1>
<pale, 1>
<and, 1>
<quiet, 1>
<that, 1>
<they, 1>
<knew, 1>
<the, 1>
<day, 1>
<had, 1>
<been, 1>
<a, 1>
<hard, 1>
<one, 1>
<though, 1>
<she, 1>
<made, 1>
<no, 1>
<complaint, 1>
<and, 1>
<did, 1>
<not, 1>
<even, 1>
<tell, 1>
<what, 1>
<she, 1>
<had, 1>
<done, 1>
<Her, 1>
<mother, 1>
<gave, 1>
<her, 1>
<an, 1>
<extra, 1>
<cordial, 1>
<cup, 1>
<of, 1>
<tea, 1>
<Beth, 1>
<helped, 1>
<her, 1>
<dress, 1>
<and, 1>
<made, 1>
<a, 1>
<charming, 1>
<little, 1>
<wreath, 1>
<for, 1>
<her, 1>
<hair, 1>
<while, 1>
<Jo, 1>
<astonished, 1>
<her, 1>
<family, 1>
<by, 1>
<getting, 1>
<herself, 1>
<up, 1>
<with, 1>
<unusual, 1>
<care, 1>
<and, 1>
<hinting, 1>
<darkly, 1>
<that, 1>
<the, 1>
<tables, 1>
<were, 1>
<about, 1>
<to, 1>
<be, 1>
<turned, 1>
<Don, 1>
<t, 1>
<do, 1>
<anything, 1>
<rude, 1>
<pray, 1>
<Jo, 1>
<I, 1>
<won, 1>
<t, 1>
<have, 1>
<any, 1>
<fuss, 1>
<made, 1>
<so, 1>
<let, 1>
<it, 1>
<all, 1>
<pass, 1>
<and, 1>
<behave, 1>
<yourself, 1>
<begged, 1>
<Amy, 1>
<as, 1>
<she, 1>
<departed, 1>
<early, 1>
<hoping, 1>
<to, 1>
<find, 1>
<a, 1>
<reinforcement, 1>
<of, 1>
<flowers, 1>
<to, 1>
<refresh, 1>
<her, 1>
<poor, 1>
<little, 1>
<table, 1>
<I, 1>
<merely, 1>
<intend, 1>
<to, 1>
<make, 1>
<myself, 1>
<entrancingly, 1>
