<latest, 1>
<celebrity, 1>
<who, 1>
<has, 1>
<arrived, 1>
<Ristori, 1>
<or, 1>
<Dickens, 1>
<Victor, 1>
<Emmanuel, 1>
<or, 1>
<the, 1>
<Queen, 1>
<of, 1>
<the, 1>
<Sandwich, 1>
<Islands, 1>
<The, 1>
<equipages, 1>
<are, 1>
<as, 1>
<varied, 1>
<as, 1>
<the, 1>
<company, 1>
<and, 1>
<attract, 1>
<as, 1>
<much, 1>
<attention, 1>
<especially, 1>
<the, 1>
<low, 1>
<basket, 1>
<barouches, 1>
<in, 1>
<which, 1>
<ladies, 1>
<drive, 1>
<themselves, 1>
<with, 1>
<a, 1>
<pair, 1>
<of, 1>
<dashing, 1>
<ponies, 1>
<gay, 1>
<nets, 1>
<to, 1>
<keep, 1>
<their, 1>
<voluminous, 1>
<flounces, 1>
<from, 1>
<overflowing, 1>
<the, 1>
<diminutive, 1>
<vehicles, 1>
<and, 1>
<little, 1>
<grooms, 1>
<on, 1>
<the, 1>
<perch, 1>
<behind, 1>
<Along, 1>
<this, 1>
<walk, 1>
<on, 1>
<Christmas, 1>
<Day, 1>
<a, 1>
<tall, 1>
<young, 1>
<man, 1>
<walked, 1>
<slowly, 1>
<with, 1>
<his, 1>
<hands, 1>
<behind, 1>
<him, 1>
<and, 1>
<a, 1>
<somewhat, 1>
<absent, 1>
<expression, 1>
<of, 1>
<countenance, 1>
<He, 1>
<looked, 1>
<like, 1>
<an, 1>
<Italian, 1>
<was, 1>
<dressed, 1>
<like, 1>
<an, 1>
<Englishman, 1>
<and, 1>
<had, 1>
<the, 1>
<independent, 1>
<air, 1>
<of, 1>
<an, 1>
<American, 1>
<a, 1>
<combination, 1>
<which, 1>
<caused, 1>
<sundry, 1>
<pairs, 1>
<of, 1>
<feminine, 1>
<eyes, 1>
<to, 1>
<look, 1>
<approvingly, 1>
<after, 1>
<him, 1>
<and, 1>
<sundry, 1>
<dandies, 1>
<in, 1>
<black, 1>
<velvet, 1>
<suits, 1>
<with, 1>
<rose, 1>
<colored, 1>
<neckties, 1>
<buff, 1>
<gloves, 1>
<and, 1>
<orange, 1>
<flowers, 1>
<in, 1>
<their, 1>
<buttonholes, 1>
<to, 1>
<shrug, 1>
<their, 1>
