<e, 1>
<certainly, 1>
<did, 1>
<grow, 1>
<a, 1>
<little, 1>
<pale, 1>
<and, 1>
<pensive, 1>
<that, 1>
<spring, 1>
<lost, 1>
<much, 1>
<of, 1>
<her, 1>
<relish, 1>
<for, 1>
<society, 1>
<and, 1>
<went, 1>
<out, 1>
<sketching, 1>
<alone, 1>
<a, 1>
<good, 1>
<deal, 1>
<She, 1>
<never, 1>
<had, 1>
<much, 1>
<to, 1>
<show, 1>
<when, 1>
<she, 1>
<came, 1>
<home, 1>
<but, 1>
<was, 1>
<studying, 1>
<nature, 1>
<I, 1>
<dare, 1>
<say, 1>
<while, 1>
<she, 1>
<sat, 1>
<for, 1>
<hours, 1>
<with, 1>
<her, 1>
<hands, 1>
<folded, 1>
<on, 1>
<the, 1>
<terrace, 1>
<at, 1>
<Valrosa, 1>
<or, 1>
<absently, 1>
<sketched, 1>
<any, 1>
<fancy, 1>
<that, 1>
<occurred, 1>
<to, 1>
<her, 1>
<a, 1>
<stalwart, 1>
<knight, 1>
<carved, 1>
<on, 1>
<a, 1>
<tomb, 1>
<a, 1>
<young, 1>
<man, 1>
<asleep, 1>
<in, 1>
<the, 1>
<grass, 1>
<with, 1>
<his, 1>
<hat, 1>
<over, 1>
<his, 1>
<eyes, 1>
<or, 1>
<a, 1>
<curly, 1>
<haired, 1>
<girl, 1>
<in, 1>
<gorgeous, 1>
<array, 1>
<promenading, 1>
<down, 1>
<a, 1>
<ballroom, 1>
<on, 1>
<the, 1>
<arm, 1>
<of, 1>
<a, 1>
<tall, 1>
<gentleman, 1>
<both, 1>
<faces, 1>
<being, 1>
<left, 1>
<a, 1>
<blur, 1>
<according, 1>
<to, 1>
<the, 1>
<last, 1>
<fashion, 1>
<in, 1>
<art, 1>
<which, 1>
<was, 1>
<safe, 1>
<but, 1>
<not, 1>
<altogether, 1>
<satisfactory, 1>
<Her, 1>
<aunt, 1>
<thought, 1>
<that, 1>
<she, 1>
<regretted, 1>
<her, 1>
<answer, 1>
<to, 1>
<Fred, 1>
<and, 1>
<finding, 1>
<denials, 1>
<useless, 1>
<and, 1>
<explanations, 1>
<impossible, 1>
<Amy, 1>
<left, 1>
<her, 1>
<to, 1>
<think, 1>
<what, 1>
<she, 1>
<liked, 1>
<taking, 1>
<care, 1>
<that, 1>
<Laurie, 1>
<should, 1>
<know, 1>
<that, 1>
<Fred, 1>
<had, 1>
<gone, 1>
<to, 1>
<Egypt, 1>
