<ely, 1>
<forgot, 1>
<to, 1>
<hail, 1>
<a, 1>
<bus, 1>
<and, 1>
<strolled, 1>
<leisurely, 1>
<along, 1>
<oblivious, 1>
<of, 1>
<deepening, 1>
<dusk, 1>
<and, 1>
<fog, 1>
<Little, 1>
<they, 1>
<cared, 1>
<what, 1>
<anybody, 1>
<thought, 1>
<for, 1>
<they, 1>
<were, 1>
<enjoying, 1>
<the, 1>
<happy, 1>
<hour, 1>
<that, 1>
<seldom, 1>
<comes, 1>
<but, 1>
<once, 1>
<in, 1>
<any, 1>
<life, 1>
<the, 1>
<magical, 1>
<moment, 1>
<which, 1>
<bestows, 1>
<youth, 1>
<on, 1>
<the, 1>
<old, 1>
<beauty, 1>
<on, 1>
<the, 1>
<plain, 1>
<wealth, 1>
<on, 1>
<the, 1>
<poor, 1>
<and, 1>
<gives, 1>
<human, 1>
<hearts, 1>
<a, 1>
<foretaste, 1>
<of, 1>
<heaven, 1>
<The, 1>
<Professor, 1>
<looked, 1>
<as, 1>
<if, 1>
<he, 1>
<had, 1>
<conquered, 1>
<a, 1>
<kingdom, 1>
<and, 1>
<the, 1>
<world, 1>
<had, 1>
<nothing, 1>
<more, 1>
<to, 1>
<offer, 1>
<him, 1>
<in, 1>
<the, 1>
<way, 1>
<of, 1>
<bliss, 1>
<While, 1>
<Jo, 1>
<trudged, 1>
<beside, 1>
<him, 1>
<feeling, 1>
<as, 1>
<if, 1>
<her, 1>
<place, 1>
<had, 1>
<always, 1>
<been, 1>
<there, 1>
<and, 1>
<wondering, 1>
<how, 1>
<she, 1>
<ever, 1>
<could, 1>
<have, 1>
<chosen, 1>
<any, 1>
<other, 1>
<lot, 1>
<Of, 1>
<course, 1>
<she, 1>
<was, 1>
<the, 1>
<first, 1>
<to, 1>
<speak, 1>
<intelligibly, 1>
<I, 1>
<mean, 1>
<for, 1>
<the, 1>
<emotional, 1>
<remarks, 1>
<which, 1>
<followed, 1>
<her, 1>
<impetuous, 1>
<Oh, 1>
<yes, 1>
<were, 1>
<not, 1>
<of, 1>
<a, 1>
<coherent, 1>
<or, 1>
<reportable, 1>
<character, 1>
<Friedrich, 1>
<why, 1>
<didn, 1>
<t, 1>
<you, 1>
<Ah, 1>
<heaven, 1>
<she, 1>
<gifs, 1>
<me, 1>
<the, 1>
<name, 1>
<that, 1>
