<bashful, 1>
<It, 1>
<won, 1>
<t, 1>
<last, 1>
<long, 1>
<if, 1>
<you, 1>
<keep, 1>
<going, 1>
<Laurie, 1>
<turned, 1>
<red, 1>
<again, 1>
<but, 1>
<wasn, 1>
<t, 1>
<offended, 1>
<at, 1>
<being, 1>
<accused, 1>
<of, 1>
<bashfulness, 1>
<for, 1>
<there, 1>
<was, 1>
<so, 1>
<much, 1>
<good, 1>
<will, 1>
<in, 1>
<Jo, 1>
<it, 1>
<was, 1>
<impossible, 1>
<not, 1>
<to, 1>
<take, 1>
<her, 1>
<blunt, 1>
<speeches, 1>
<as, 1>
<kindly, 1>
<as, 1>
<they, 1>
<were, 1>
<meant, 1>
<Do, 1>
<you, 1>
<like, 1>
<your, 1>
<school, 1>
<asked, 1>
<the, 1>
<boy, 1>
<changing, 1>
<the, 1>
<subject, 1>
<after, 1>
<a, 1>
<little, 1>
<pause, 1>
<during, 1>
<which, 1>
<he, 1>
<stared, 1>
<at, 1>
<the, 1>
<fire, 1>
<and, 1>
<Jo, 1>
<looked, 1>
<about, 1>
<her, 1>
<well, 1>
<pleased, 1>
<Don, 1>
<t, 1>
<go, 1>
<to, 1>
<school, 1>
<I, 1>
<m, 1>
<a, 1>
<businessman, 1>
<girl, 1>
<I, 1>
<mean, 1>
<I, 1>
<go, 1>
<to, 1>
<wait, 1>
<on, 1>
<my, 1>
<great, 1>
<aunt, 1>
<and, 1>
<a, 1>
<dear, 1>
<cross, 1>
<old, 1>
<soul, 1>
<she, 1>
<is, 1>
<too, 1>
<answered, 1>
<Jo, 1>
<Laurie, 1>
<opened, 1>
<his, 1>
<mouth, 1>
<to, 1>
<ask, 1>
<another, 1>
<question, 1>
<but, 1>
<remembering, 1>
<just, 1>
<in, 1>
<time, 1>
<that, 1>
<it, 1>
<wasn, 1>
<t, 1>
<manners, 1>
<to, 1>
<make, 1>
<too, 1>
<many, 1>
<inquiries, 1>
<into, 1>
<people, 1>
<s, 1>
<affairs, 1>
<he, 1>
<shut, 1>
<it, 1>
<again, 1>
<and, 1>
<looked, 1>
<uncomfortable, 1>
<Jo, 1>
<liked, 1>
<his, 1>
<good, 1>
<breeding, 1>
<and, 1>
<didn, 1>
<t, 1>
<mind, 1>
<having, 1>
<a, 1>
<laugh, 1>
<at, 1>
<Aunt, 1>
<March, 1>
<so, 1>
<she, 1>
<gave, 1>
<him, 1>
<a, 1>
<lively, 1>
<description, 1>
<of, 1>
<the, 1>
<fidgety, 1>
<old, 1>
<lady, 1>
<her, 1>
<fat, 1>
<poodle, 1>
<the, 1>
<parrot, 1>
<that, 1>
<talked, 1>
<Spanish, 1>
<and, 1>
<the, 1>
<library, 1>
<where, 1>
<she, 1>
<reveled, 1>
<Laurie, 1>
<enjoyed, 1>
<that, 1>
<immensely, 1>
<and, 1>
<when, 1>
<she, 1>
<told, 1>
<about, 1>
<the, 1>
<prim, 1>
<old, 1>
<gentleman, 1>
<who, 1>
<came, 1>
<once, 1>
<to, 1>
<woo, 1>
<Aunt, 1>
<March, 1>
<and, 1>
<in, 1>
<the, 1>
<middle, 1>
<of, 1>
<a, 1>
<fine, 1>
<speech, 1>
<how, 1>
<Poll, 1>
<had, 1>
<tweaked, 1>
<his, 1>
<wig, 1>
<off, 1>
<to, 1>
<his, 1>
<great, 1>
<dismay, 1>
<the, 1>
<boy, 1>
<lay, 1>
<back, 1>
<and, 1>
<laughed, 1>
<till, 1>
<the, 1>
<tears, 1>
<ran, 1>
<down, 1>
<his, 1>
<cheeks, 1>
<and, 1>
<a, 1>
<maid, 1>
<popped, 1>
<her, 1>
<head, 1>
<in, 1>
<to, 1>
<see, 1>
<what, 1>
<was, 1>
<the, 1>
<matter, 1>
<Oh, 1>
<That, 1>
<does, 1>
<me, 1>
<no, 1>
<end, 1>
<of, 1>
<good, 1>
<Tell, 1>
<on, 1>
<please, 1>
<he, 1>
<said, 1>
<taking, 1>
<his, 1>
<face, 1>
<out, 1>
<of, 1>
<the, 1>
<sofa, 1>
<cushion, 1>
<red, 1>
<and, 1>
<shining, 1>
<with, 1>
<merriment, 1>
<Much, 1>
<elated, 1>
<with, 1>
<her, 1>
<success, 1>
<Jo, 1>
<did, 1>
<tell, 1>
<on, 1>
<all, 1>
<about, 1>
<their, 1>
<plays, 1>
<and, 1>
<plans, 1>
<their, 1>
<hopes, 1>
<and, 1>
<fears, 1>
<for, 1>
<Father, 1>
<and, 1>
<the, 1>
<most, 1>
<interesting, 1>
<events, 1>
<of, 1>
<the, 1>
<little, 1>
<world, 1>
<in, 1>
<which, 1>
<the, 1>
<sisters, 1>
<lived, 1>
<Then, 1>
<they, 1>
<got, 1>
<to, 1>
<talking, 1>
<about, 1>
<books, 1>
<and, 1>
<to, 1>
<Jo, 1>
<s, 1>
<delight, 1>
<she, 1>
<found, 1>
<that, 1>
