<ay, 1>
<near, 1>
<the, 1>
<stake, 1>
<By, 1>
<George, 1>
<it, 1>
<s, 1>
<all, 1>
<up, 1>
<with, 1>
<us, 1>
<Goodbye, 1>
<Kate, 1>
<Miss, 1>
<Jo, 1>
<owes, 1>
<me, 1>
<one, 1>
<so, 1>
<you, 1>
<are, 1>
<finished, 1>
<cried, 1>
<Fred, 1>
<excitedly, 1>
<as, 1>
<they, 1>
<all, 1>
<drew, 1>
<near, 1>
<to, 1>
<see, 1>
<the, 1>
<finish, 1>
<Yankees, 1>
<have, 1>
<a, 1>
<trick, 1>
<of, 1>
<being, 1>
<generous, 1>
<to, 1>
<their, 1>
<enemies, 1>
<said, 1>
<Jo, 1>
<with, 1>
<a, 1>
<look, 1>
<that, 1>
<made, 1>
<the, 1>
<lad, 1>
<redden, 1>
<especially, 1>
<when, 1>
<they, 1>
<beat, 1>
<them, 1>
<she, 1>
<added, 1>
<as, 1>
<leaving, 1>
<Kate, 1>
<s, 1>
<ball, 1>
<untouched, 1>
<she, 1>
<won, 1>
<the, 1>
<game, 1>
<by, 1>
<a, 1>
<clever, 1>
<stroke, 1>
<Laurie, 1>
<threw, 1>
<up, 1>
<his, 1>
<hat, 1>
<then, 1>
<remembered, 1>
<that, 1>
<it, 1>
<wouldn, 1>
<t, 1>
<do, 1>
<to, 1>
<exult, 1>
<over, 1>
<the, 1>
<defeat, 1>
<of, 1>
<his, 1>
<guests, 1>
<and, 1>
<stopped, 1>
<in, 1>
<the, 1>
<middle, 1>
<of, 1>
<the, 1>
<cheer, 1>
<to, 1>
<whisper, 1>
<to, 1>
<his, 1>
<friend, 1>
<Good, 1>
<for, 1>
<you, 1>
<Jo, 1>
<He, 1>
<did, 1>
<cheat, 1>
<I, 1>
<saw, 1>
<him, 1>
<We, 1>
<can, 1>
<t, 1>
<tell, 1>
<him, 1>
<so, 1>
<but, 1>
<he, 1>
<won, 1>
<t, 1>
<do, 1>
<it, 1>
<again, 1>
<take, 1>
<my, 1>
<word, 1>
<for, 1>
<it, 1>
<Meg, 1>
<drew, 1>
<her, 1>
<aside, 1>
<under, 1>
<pretense, 1>
<of, 1>
<pinning, 1>
<up, 1>
<a, 1>
<loose, 1>
<braid, 1>
<and, 1>
<said, 1>
<approvingly, 1>
<It, 1>
<was, 1>
<dreadfully, 1>
<provoking, 1>
<but, 1>
<you, 1>
<kept, 1>
<your, 1>
<temper, 1>
<and, 1>
<I, 1>
<m, 1>
<so, 1>
<glad, 1>
<Jo, 1>
<Don, 1>
<t, 1>
<praise, 1>
<me, 1>
<Meg, 1>
<for, 1>
<I, 1>
<could, 1>
<box, 1>
<his, 1>
<ears, 1>
<this, 1>
<minute, 1>
<I, 1>
<should, 1>
<certainly, 1>
<have, 1>
<boiled, 1>
<over, 1>
<if, 1>
<I, 1>
<hadn, 1>
<t, 1>
<stayed, 1>
<among, 1>
<the, 1>
<nettles, 1>
<till, 1>
<I, 1>
<got, 1>
<my, 1>
<rage, 1>
<under, 1>
<control, 1>
<enough, 1>
<to, 1>
<hold, 1>
<my, 1>
<tongue, 1>
<It, 1>
<s, 1>
<simmering, 1>
<now, 1>
<so, 1>
<I, 1>
<hope, 1>
<he, 1>
<ll, 1>
<keep, 1>
<out, 1>
<of, 1>
<my, 1>
<way, 1>
<returned, 1>
<Jo, 1>
<biting, 1>
<her, 1>
<lips, 1>
<as, 1>
<she, 1>
<glowered, 1>
<at, 1>
<Fred, 1>
<from, 1>
<under, 1>
<her, 1>
<big, 1>
<hat, 1>
<Time, 1>
<for, 1>
<lunch, 1>
<said, 1>
<Mr, 1>
<Brooke, 1>
<looking, 1>
<at, 1>
<his, 1>
<watch, 1>
<Commissary, 1>
<general, 1>
<will, 1>
<you, 1>
<make, 1>
<the, 1>
<fire, 1>
<and, 1>
<get, 1>
<water, 1>
<while, 1>
<Miss, 1>
<March, 1>
<Miss, 1>
<Sallie, 1>
<and, 1>
<I, 1>
<spread, 1>
<the, 1>
<table, 1>
<Who, 1>
<can, 1>
<make, 1>
<good, 1>
<coffee, 1>
<Jo, 1>
<can, 1>
<said, 1>
<Meg, 1>
<glad, 1>
<to, 1>
<recommend, 1>
<her, 1>
<sister, 1>
<So, 1>
<Jo, 1>
<feeling, 1>
