<, 1>
<haven, 1>
<t, 1>
<said, 1>
<Jo, 1>
<decidedly, 1>
<Which, 1>
<will, 1>
<you, 1>
<have, 1>
<Beth, 1>
<There, 1>
<ain, 1>
<t, 1>
<no, 1>
<need, 1>
<of, 1>
<but, 1>
<one, 1>
<aid, 1>
<Hannah, 1>
<Jo, 1>
<please, 1>
<And, 1>
<Beth, 1>
<leaned, 1>
<her, 1>
<head, 1>
<against, 1>
<her, 1>
<sister, 1>
<with, 1>
<a, 1>
<contented, 1>
<look, 1>
<which, 1>
<effectually, 1>
<settled, 1>
<that, 1>
<point, 1>
<I, 1>
<ll, 1>
<go, 1>
<and, 1>
<tell, 1>
<Amy, 1>
<said, 1>
<Meg, 1>
<feeling, 1>
<a, 1>
<little, 1>
<hurt, 1>
<yet, 1>
<rather, 1>
<relieved, 1>
<on, 1>
<the, 1>
<whole, 1>
<for, 1>
<she, 1>
<did, 1>
<not, 1>
<like, 1>
<nursing, 1>
<and, 1>
<Jo, 1>
<did, 1>
<Amy, 1>
<rebelled, 1>
<outright, 1>
<and, 1>
<passionately, 1>
<declared, 1>
<that, 1>
<she, 1>
<had, 1>
<rather, 1>
<have, 1>
<the, 1>
<fever, 1>
<than, 1>
<go, 1>
<to, 1>
<Aunt, 1>
<March, 1>
<Meg, 1>
<reasoned, 1>
<pleaded, 1>
<and, 1>
<commanded, 1>
<all, 1>
<in, 1>
<vain, 1>
<Amy, 1>
<protested, 1>
<that, 1>
<she, 1>
<would, 1>
<not, 1>
<go, 1>
<and, 1>
<Meg, 1>
<left, 1>
<her, 1>
<in, 1>
<despair, 1>
<to, 1>
<ask, 1>
<Hannah, 1>
<what, 1>
<should, 1>
<be, 1>
<done, 1>
<Before, 1>
<she, 1>
<came, 1>
<back, 1>
<Laurie, 1>
<walked, 1>
<into, 1>
<the, 1>
<parlor, 1>
<to, 1>
<find, 1>
<Amy, 1>
<sobbing, 1>
<with, 1>
<her, 1>
<head, 1>
<in, 1>
<the, 1>
<sofa, 1>
<cushions, 1>
<She, 1>
<told, 1>
<her, 1>
<story, 1>
<expecting, 1>
<to, 1>
<be, 1>
<consoled, 1>
<but, 1>
<Laurie, 1>
<only, 1>
<put, 1>
<his, 1>
<hands, 1>
<in, 1>
<his, 1>
<pockets, 1>
<and, 1>
<walked, 1>
<about, 1>
<the, 1>
<room, 1>
<whistling, 1>
<softly, 1>
<as, 1>
<he, 1>
<knit, 1>
<his, 1>
<brows, 1>
<in, 1>
<deep, 1>
<thought, 1>
<Presently, 1>
<he, 1>
<sat, 1>
<down, 1>
<beside, 1>
<her, 1>
<and, 1>
<said, 1>
<in, 1>
<his, 1>
<most, 1>
<wheedlesome, 1>
<tone, 1>
<Now, 1>
<be, 1>
<a, 1>
<sensible, 1>
<little, 1>
<woman, 1>
<and, 1>
<do, 1>
<as, 1>
<they, 1>
<say, 1>
<No, 1>
<don, 1>
<t, 1>
<cry, 1>
<but, 1>
<hear, 1>
<what, 1>
<a, 1>
<jolly, 1>
<plan, 1>
<I, 1>
<ve, 1>
<got, 1>
<You, 1>
<go, 1>
<to, 1>
<Aunt, 1>
<March, 1>
<s, 1>
<and, 1>
<I, 1>
<ll, 1>
<come, 1>
<and, 1>
<take, 1>
<you, 1>
<out, 1>
<every, 1>
<day, 1>
<driving, 1>
<or, 1>
<walking, 1>
<and, 1>
<we, 1>
<ll, 1>
<have, 1>
<capital, 1>
<times, 1>
<Won, 1>
<t, 1>
<that, 1>
<be, 1>
<better, 1>
<than, 1>
<moping, 1>
<here, 1>
<I, 1>
<don, 1>
<t, 1>
<wish, 1>
<to, 1>
<be, 1>
<sent, 1>
<off, 1>
<as, 1>
<if, 1>
<I, 1>
<was, 1>
<in, 1>
<the, 1>
<way, 1>
<began, 1>
<Amy, 1>
<in, 1>
<an, 1>
<injured, 1>
<voice, 1>
<Bless, 1>
<your, 1>
<heart, 1>
<child, 1>
<it, 1>
<s, 1>
<to, 1>
<keep, 1>
<you, 1>
<well, 1>
<You, 1>
<don, 1>
<t, 1>
<want, 1>
<to, 1>
<be, 1>
<sick, 1>
<do, 1>
<you, 1>
<No, 1>
<I, 1>
<m, 1>
<sure, 1>
<I, 1>
<don, 1>
<t, 1>
<but, 1>
<I, 1>
<dare, 1>
<say, 1>
<I, 1>
<shall, 1>
<be, 1>
<for, 1>
<I, 1>
<ve, 1>
<been, 1>
<with, 1>
<Beth, 1>
<all, 1>
<the, 1>
<time, 1>
<That, 1>
<s, 1>
<the, 1>
<very, 1>
<reason, 1>
<you, 1>
<ought, 1>
<to, 1>
<go, 1>
<away, 1>
<at, 1>
<once, 1>
<so, 1>
<that, 1>
<you, 1>
<may, 1>
<escape, 1>
<it, 1>
<Change, 1>
<of, 1>
<air, 1>
<and, 1>
<care, 1>
<will, 1>
<keep, 1>
<you, 1>
<well, 1>
<I, 1>
<dare, 1>
<say, 1>
<or, 1>
<if, 1>
<it, 1>
<does, 1>
<not, 1>
<entirely, 1>
<you, 1>
<will, 1>
<have, 1>
<the, 1>
<fever, 1>
<more, 1>
<lightly, 1>
<I, 1>
<advise, 1>
<you, 1>
<to, 1>
<be, 1>
<off, 1>
<as, 1>
<soon, 1>
<as, 1>
<you, 1>
<can, 1>
<for, 1>
<scarlet, 1>
<fever, 1>
<is, 1>
<no, 1>
<joke, 1>
<miss, 1>
<But, 1>
<it, 1>
<s, 1>
<dull, 1>
<at, 1>
<Aunt, 1>
<March, 1>
<s, 1>
<and, 1>
<she, 1>
<is, 1>
<so, 1>
<cross, 1>
<said, 1>
<Amy, 1>
<looking, 1>
<rather, 1>
<frightened, 1>
<It, 1>
<won, 1>
<t, 1>
<be, 1>
<dull, 1>
<with, 1>
<me, 1>
<popping, 1>
<in, 1>
<every, 1>
<day, 1>
<to, 1>
<tell, 1>
<you, 1>
<how, 1>
<Beth, 1>
<is, 1>
<and, 1>
<take, 1>
<you, 1>
<out, 1>
<gallivanting, 1>
<The, 1>
<old, 1>
<lady, 1>
<likes, 1>
<me, 1>
<and, 1>
<I, 1>
<ll, 1>
<be, 1>
<as, 1>
<sweet, 1>
<as, 1>
<possible, 1>
<to, 1>
<her, 1>
<so, 1>
<she, 1>
<won, 1>
<t, 1>
<peck, 1>
<at, 1>
<us, 1>
<whatever, 1>
<we, 1>
<do, 1>
<Will, 1>
<you, 1>
<take, 1>
<me, 1>
<out, 1>
<in, 1>
<the, 1>
<trotting, 1>
<wagon, 1>
<with, 1>
<Puck, 1>
<On, 1>
<my, 1>
<honor, 1>
<as, 1>
<a, 1>
